,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41000,State Senate - District 10,14.688993776869195,"<b>Furquan Stafford (Rep)</b><br>14,658 votes",57,57
1,Dem,41000,State Senate - District 10,85.3110062231308,"<b>Emanuel D. Jones (I) (Dem)</b><br>85,131 votes",57,57
2,Dem,41700,State Senate - District 17,100.0,"<b>Gail Davenport (I) (Dem)</b><br>80,988 votes",34,34
3,Rep,42500,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
4,Rep,44200,State Senate - District 42,58.238443275452724,"<b>Brian Strickland (I) (Rep)</b><br>62,551 votes",40,40
5,Dem,44200,State Senate - District 42,41.76155672454727,"<b>Kacy D. Morgan (Dem)</b><br>44,854 votes",40,40
6,Dem,57400,State House of Representatives - District 74,100.0,"<b>Robert Flournoy, Jr. (Dem)</b><br>25,139 votes",14,14
7,Dem,57800,State House of Representatives - District 78,100.0,"<b>Demetrius Douglas (I) (Dem)</b><br>24,908 votes",14,14
8,Rep,58100,State House of Representatives - District 81,57.00787401574803,"<b>Noelle Kahaian (Rep)</b><br>19,186 votes",17,17
9,Dem,58100,State House of Representatives - District 81,42.99212598425196,"<b>Mishael White (Dem)</b><br>14,469 votes",17,17
10,Dem,61500,State House of Representatives - District 115,100.0,"<b>Regina Lewis-Ward (I) (Dem)</b><br>30,385 votes",16,16
11,Rep,61600,State House of Representatives - District 116,18.3660849251065,"<b>Reign Stevens (Rep)</b><br>5,346 votes",15,15
12,Dem,61600,State House of Representatives - District 116,81.63391507489351,"<b>El-Mahdi Holly (I) (Dem)</b><br>23,762 votes",15,15
13,Dem,61700,State House of Representatives - District 117,100.0,"<b>Mary Ann Santos (Dem)</b><br>24,820 votes",8,8
14,Dem,71700,District Attorney - Flint Judicial Circuit,100.0,"<b>Darius Pattillo (I) (Dem)</b><br>101,961 votes",37,37
15,Dem,,Henry County: Clerk of Superior Court,100.0,"<b>Sabriya Hill (I) (Dem)</b><br>102,341 votes",37,37
16,Rep,,Henry County: Sheriff,34.439032117539895,"<b>John Lee Redlinger (Rep)</b><br>43,481 votes",37,37
17,Dem,,Henry County: Sheriff,65.56096788246009,"<b>Reginald B. Scandrett (I) (Dem)</b><br>82,774 votes",37,37
18,Dem,,Henry County: Tax Commissioner,100.0,"<b>Michael C. Harris (I) (Dem)</b><br>104,352 votes",37,37
19,Dem,,Henry County: Coroner,100.0,"<b>Donald W. Cleveland (I) (Dem)</b><br>104,458 votes",37,37
20,Dem,,Henry County: County Commission Chairman,100.0,"<b>Carlotta Harrell (I) (Dem)</b><br>101,445 votes",37,37
21,Rep,,Henry County: County Commissioner - District 1,50.75936418004407,"<b>Johnny R. Wilson (I) (Rep)</b><br>12,901 votes",7,7
22,Dem,,Henry County: County Commissioner - District 1,49.24063581995593,"<b>Demetrius Rucker (Dem)</b><br>12,515 votes",7,7
23,Dem,,Henry County: County Commissioner - District 2,100.0,"<b>Neat Robinson (I) (Dem)</b><br>21,735 votes",9,9
24,Dem,,Henry County: (S) County Commissioner - District 4,23.253774963468096,"<b>John Blount  (Dem)</b><br>4,774 votes",8,8
25,Dem,,Henry County: (S) County Commissioner - District 4,12.693619094008767,"<b>Robert Kolpak  (Dem)</b><br>2,606 votes",8,8
26,Dem,,Henry County: (S) County Commissioner - District 4,25.382367267413542,"<b>Michael Price  (I) (Dem)</b><br>5,211 votes",8,8
27,Dem,,Henry County: (S) County Commissioner - District 4,14.227959084266924,"<b>Phedra PT Thomas  (Dem)</b><br>2,921 votes",8,8
28,Dem,,Henry County: (S) County Commissioner - District 4,24.44227959084267,"<b>Vivian Thomas  (Dem)</b><br>5,018 votes",8,8
29,,,Henry County: Henry SPLOST VI,50.321533069676214,"<b>Yes</b><br>62,602 votes",37,37
30,,,Henry County: Henry SPLOST VI,49.678466930323786,"<b>No</b><br>61,802 votes",37,37
31,,,Henry County: Stockbridge Homestead Referendum (S),70.90721516538784,"<b>Yes</b><br>10,997 votes",10,10
32,,,Henry County: Stockbridge Homestead Referendum (S),29.09278483461216,"<b>No</b><br>4,512 votes",10,10
