,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41800,State Senate - District 18,100.0,"<b>John F. Kennedy (I) (Rep)</b><br>80,984 votes",48,48
1,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
2,Dem,42600,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
3,Rep,64300,State House of Representatives - District 143,38.096123454494744,"<b>Barbara Boyer (Rep)</b><br>8,196 votes",15,15
4,Dem,64300,State House of Representatives - District 143,61.903876545505256,"<b>Anissa Jones (Dem)</b><br>13,318 votes",15,15
5,Rep,64600,State House of Representatives - District 146,100.0,"<b>Shaw Blackmon (I) (Rep)</b><br>27,658 votes",9,9
6,Rep,64700,State House of Representatives - District 147,56.92404532102392,"<b>Bethany Ballard (I) (Rep)</b><br>16,278 votes",11,11
7,Dem,64700,State House of Representatives - District 147,43.07595467897608,"<b>Ariel Phillips (Dem)</b><br>12,318 votes",11,11
8,Rep,64800,State House of Representatives - District 148,100.0,"<b>Noel W. Williams, Jr. (I) (Rep)</b><br>22,686 votes",17,17
9,Rep,72000,District Attorney - Houston Judicial Circuit,100.0,"<b>Eric Z. Edwards (Rep)</b><br>62,754 votes",17,17
10,Rep,,Houston County: Probate Court Judge,100.0,"<b>Kristy Warren Harris (I) (Rep)</b><br>63,239 votes",17,17
11,Rep,,Houston County: Clerk of the Superior Court,56.61569315617949,"<b>Terri L. Childers (Rep)</b><br>45,168 votes",17,17
12,Dem,,Houston County: Clerk of the Superior Court,43.38430684382051,"<b>Angela Anderson (Dem)</b><br>34,612 votes",17,17
13,Rep,,Houston County: Sheriff,59.35821512188404,"<b>Matthew L. Moulton (Rep)</b><br>47,410 votes",17,17
14,Dem,,Houston County: Sheriff,40.64178487811596,"<b>Arthur Lee Harris (Dem)</b><br>32,461 votes",17,17
15,Rep,,Houston County: Tax Commissioner,100.0,"<b>Mark Kushinka (I) (Rep)</b><br>64,077 votes",17,17
16,Rep,,Houston County: Coroner,100.0,"<b>James “JimBob” Williams (I) (Rep)</b><br>63,843 votes",17,17
17,Rep,,Houston County: Solicitor General,100.0,"<b>Amy Elaine Smith (I) (Rep)</b><br>63,131 votes",17,17
18,Rep,,Houston County: County Commissioner - Post 3,100.0,"<b>Gail Robinson (I) (Rep)</b><br>63,208 votes",17,17
19,Rep,,Houston County: County Commissioner - Post 4,100.0,"<b>Tal Talton (I) (Rep)</b><br>63,429 votes",17,17
20,Rep,,Houston County: County Commissioner - Post 5,100.0,"<b>Mark Byrd (I) (Rep)</b><br>63,196 votes",17,17
