,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,66900,State House of Representatives - District 169,74.74853037230568,"<b>Angie O'Steen (Rep)</b><br>17,166 votes",13,13
2,Dem,66900,State House of Representatives - District 169,25.251469627694316,"<b>Theresa R. Rewis (Dem)</b><br>5,799 votes",13,13
3,Rep,73600,District Attorney - Tifton Judicial Circuit,100.0,"<b>Bryce Johnson (I) (Rep)</b><br>28,715 votes",29,29
4,Ind,,Irwin County: Clerk of Superior Court,100.0,"<b>Nancy F. Ross (I) (Ind)</b><br>3,938 votes",2,2
5,Rep,,Irwin County: Sheriff,100.0,"<b>Cody Youghn (I) (Rep)</b><br>3,921 votes",2,2
6,Rep,,Irwin County: Tax Commissioner,100.0,"<b>Lindsey Ross Todd (I) (Rep)</b><br>3,833 votes",2,2
7,Rep,,Irwin County: Coroner,100.0,"<b>Brandon Fletcher (I) (Rep)</b><br>3,760 votes",2,2
8,Rep,,Irwin County: County Commission Chair,100.0,"<b>Carl Hutchinson (Rep)</b><br>3,695 votes",2,2
9,Rep,,Irwin County: County Commission - District 1,100.0,"<b>Paul McIntyre (Rep)</b><br>1,150 votes",1,1
10,Rep,,Irwin County: County Commission - District 3,48.34710743801653,<b>Mona W. MacKenzie (Rep)</b><br>468 votes,1,1
11,Dem,,Irwin County: County Commission - District 3,51.652892561983464,<b>Aldene Tyson (I) (Dem)</b><br>500 votes,1,1
12,,,Irwin County: Ocilla - Irwin County SPLOST,63.14278880650562,"<b>Yes</b><br>2,640 votes",2,2
13,,,Irwin County: Ocilla - Irwin County SPLOST,36.85721119349438,"<b>No</b><br>1,541 votes",2,2
