,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42500,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
1,Rep,64400,State House of Representatives - District 144,74.45623497684235,"<b>Dale Washburn (I) (Rep)</b><br>25,400 votes",19,19
2,Dem,64400,State House of Representatives - District 144,25.54376502315765,"<b>Anita Hyland (Dem)</b><br>8,714 votes",19,19
3,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
4,Rep,,Jasper County: Clerk of Superior Court,100.0,"<b>LeAnn Airington (I) (Rep)</b><br>8,167 votes",3,3
5,Rep,,Jasper County: Sheriff,100.0,"<b>Donnie Pope (I) (Rep)</b><br>8,365 votes",3,3
6,Rep,,Jasper County: Tax Commissioner,100.0,"<b>Angela S. Walsh (I) (Rep)</b><br>8,344 votes",3,3
7,Dem,,Jasper County: County Surveyor,100.0,"<b>Robert O. Jordan (I) (Dem)</b><br>6,567 votes",3,3
8,Rep,,Jasper County: Coroner,100.0,"<b>Billy Norris (I) (Rep)</b><br>8,256 votes",3,3
9,Dem,,Jasper County: County Commision - District 1,100.0,"<b>Sheila G. Pounds (I) (Dem)</b><br>1,250 votes",1,1
10,Rep,,Jasper County: County Commision - District 3,100.0,"<b>Rob Alexander (Rep)</b><br>1,994 votes",2,2
11,Rep,,Jasper County: County Commision - District 5,100.0,"<b>Steven Ledford (I) (Rep)</b><br>1,697 votes",3,3
12,,,Jasper County: (S) BOE - District 5,100.0,"<b>Michelle Coward</b><br>1,500 votes",3,3
13,,,Jasper County: Upper Ocmulgee River Soil and Water District Supervisor,100.0,"<b>Rob Alexander</b><br>7,670 votes",3,3
