,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,65700,State House of Representatives - District 157,100.0,"<b>William 'Bill' Werkheiser (I) (Rep)</b><br>19,664 votes",24,24
2,Rep,70700,District Attorney - Brunswick Judicial Circuit,100.0,"<b>Keith Higgins (I) (Rep)</b><br>78,471 votes",58,58
3,Rep,,Jeff Davis County: Probate Judge,100.0,"<b>Jason Taylor (I) (Rep)</b><br>5,152 votes",9,9
4,Rep,,Jeff Davis County: Clerk of Superior Court,100.0,"<b>Julie Copeland Wilkinson (I) (Rep)</b><br>5,154 votes",9,9
5,Rep,,Jeff Davis County: Sheriff,100.0,"<b>Preston W. Bohannon (I) (Rep)</b><br>5,225 votes",9,9
6,Rep,,Jeff Davis County: Tax Commissioner,100.0,"<b>Susan Graham Kersey (I) (Rep)</b><br>5,264 votes",9,9
7,Rep,,Jeff Davis County: Coroner,100.0,"<b>Tommy C. Carter (I) (Rep)</b><br>5,182 votes",9,9
8,Rep,,Jeff Davis County: Chief Magistrate,100.0,"<b>Chris A. Davenport (I) (Rep)</b><br>5,210 votes",9,9
9,Dem,,Jeff Davis County: County Commission - District 1,100.0,<b>James S. Benjamin (I) (Dem)</b><br>666 votes,1,1
10,Rep,,Jeff Davis County: County Commission - District 2,100.0,"<b>Ricky Crosby (I) (Rep)</b><br>1,310 votes",2,2
11,Rep,,Jeff Davis County: County Commission - District 3,100.0,<b>Dennis Yawn (Rep)</b><br>925 votes,2,2
12,Rep,,Jeff Davis County: County BOE - At Large,100.0,"<b>David Miller (I) (Rep)</b><br>5,119 votes",9,9
13,Dem,,Jeff Davis County: County BOE - District 1,100.0,<b>Larry Allen (I) (Dem)</b><br>655 votes,1,1
14,Rep,,Jeff Davis County: County BOE - District 2,100.0,"<b>Andy Ramay (I) (Rep)</b><br>1,336 votes",2,2
15,,,Jeff Davis County: Altamaha Soil and Water District Supervisor,100.0,"<b>Tabatha Kirkland Wooten (I)</b><br>4,753 votes",9,9
