,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Dem,63200,State House of Representatives - District 132,100.0,"<b>Brian L. Prince (I) (Dem)</b><br>19,198 votes",20,20
3,Rep,72300,District Attorney - Middle Judicial Circuit,100.0,"<b>Tripp Fitzner (I) (Rep)</b><br>32,860 votes",33,33
4,Dem,,Jefferson County: Probate Court Judge,100.0,"<b>Na'Quella A. Davis (I) (Dem)</b><br>5,534 votes",8,8
5,Dem,,Jefferson County: Clerk of Superior Court,100.0,"<b>Anne L. Durden (I) (Dem)</b><br>5,968 votes",8,8
6,Rep,,Jefferson County: Sheriff,25.753117556396244,"<b>Colby Harrell (Rep)</b><br>1,838 votes",8,8
7,Dem,,Jefferson County: Sheriff,74.24688244360375,"<b>Charles ""Gary"" Hutchins (I) (Dem)</b><br>5,299 votes",8,8
8,Dem,,Jefferson County: Tax Commissioner,100.0,"<b>Nancy W. McGraw (I) (Dem)</b><br>6,038 votes",8,8
9,Dem,,Jefferson County: Coroner,100.0,"<b>Edward C. James (I) (Dem)</b><br>6,107 votes",8,8
10,Dem,,Jefferson County: Solicitor General,100.0,"<b>Dalton D. Dowdy (I) (Dem)</b><br>5,884 votes",8,8
11,Rep,,Jefferson County: County Commission Chairman,38.25853796217895,"<b>Leonard ""Lenny"" Hobbs, Jr. (Rep)</b><br>2,711 votes",8,8
12,Dem,,Jefferson County: County Commission Chairman,61.74146203782106,"<b>Mitchell McGraw (I) (Dem)</b><br>4,375 votes",8,8
13,Dem,,Jefferson County: County Commissioner - District 2,100.0,"<b>Rodney F. McKinnie (Dem)</b><br>1,341 votes",3,3
14,Dem,,Jefferson County: County Commissioner - District 4,100.0,"<b>William R. Toulson, Jr. (I) (Dem)</b><br>1,365 votes",3,3
