,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,62600,State House of Representatives - District 126,42.076482265253375,"<b>William C. Harris (Rep)</b><br>11,234 votes",29,29
3,Dem,62600,State House of Representatives - District 126,57.923517734746625,"<b>L.C. Myles, Jr. (Dem)</b><br>15,465 votes",29,29
4,Rep,72800,District Attorney - Ogeechee Judicial Circuit,100.0,"<b>Robert Busbee (Rep)</b><br>65,604 votes",48,48
5,Ind,,Jenkins County: Sheriff,100.0,"<b>Robert L. Oglesby (I) (Ind)</b><br>3,103 votes",5,5
6,Dem,,Jenkins County: Tax Commissioner,18.730650154798763,<b>Shenice Thompson (Dem)</b><br>605 votes,5,5
7,Ind,,Jenkins County: Tax Commissioner,81.26934984520123,"<b>Tina Elmore Burke (I) (Ind)</b><br>2,625 votes",5,5
8,Ind,,Jenkins County: Clerk of Superior Court,100.0,"<b>Tracey L. Herrington (I) (Ind)</b><br>3,036 votes",5,5
9,Ind,,Jenkins County: Coroner,100.0,"<b>Henry Young (I) (Ind)</b><br>3,221 votes",5,5
10,Dem,,Jenkins County: County Commissioner - District 1,41.25,<b>Giovanni Shumake (Dem)</b><br>264 votes,1,1
11,Ind,,Jenkins County: County Commissioner - District 1,58.75,<b>Tracie M. Coney (I) (Ind)</b><br>376 votes,1,1
12,Ind,,Jenkins County: County Commissioner - District 3,100.0,<b>Jonathan Powell (I) (Ind)</b><br>645 votes,1,1
13,Rep,,Jenkins County: County Commissioner - District 4,100.0,<b>Mike S. Chance (Rep)</b><br>690 votes,1,1
14,Ind,,Jenkins County: Brier Creek Soil and Water Supervisor,100.0,"<b>John B. Gay (I) (Ind)</b><br>3,038 votes",5,5
15,,,Jenkins County: Special 1% Sales and Use Tax,60.06240249609984,"<b>Yes</b><br>1,925 votes",5,5
16,,,Jenkins County: Special 1% Sales and Use Tax,39.93759750390016,"<b>No</b><br>1,280 votes",5,5
