,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42600,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
1,Rep,65500,State House of Representatives - District 155,100.0,"<b>Matt Hatchett (I) (Rep)</b><br>22,913 votes",19,19
2,Rep,71500,District Attorney - Dublin Judicial Circuit,100.0,"<b>Harold D. McLendon (Rep)</b><br>29,512 votes",26,26
3,Rep,,Johnson County: Clerk of Superior Court,100.0,"<b>Patricia T. Glover (I) (Rep)</b><br>3,458 votes",4,4
4,Rep,,Johnson County: Sheriff,100.0,"<b>Greg Rowland (I) (Rep)</b><br>3,422 votes",4,4
5,Rep,,Johnson County: Surveyor,100.0,"<b>Roger Edward Price (I) (Rep)</b><br>3,330 votes",4,4
6,Rep,,Johnson County: Tax Commissioner,100.0,"<b>Ashley Hudson Hooks (Rep)</b><br>3,396 votes",4,4
7,Rep,,Johnson County: Coroner,100.0,"<b>Phil Boatright, Jr. (I) (Rep)</b><br>3,434 votes",4,4
8,Rep,,Johnson County: County Commissioner - District 2,100.0,<b>James McAfee (I) (Rep)</b><br>684 votes,2,2
9,Dem,,Johnson County: County Commissioner - District 3,100.0,"<b>Jerronney ""Ron"" Darrisaw (I) (Dem)</b><br>470 votes",2,2
10,Rep,,Johnson County: County Commissioner - District 4,100.0,"<b>Brian ""Duck"" Lindsey (Rep)</b><br>831 votes",2,2
