,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42500,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
1,Rep,64400,State House of Representatives - District 144,74.45623497684235,"<b>Dale Washburn (I) (Rep)</b><br>25,400 votes",19,19
2,Dem,64400,State House of Representatives - District 144,25.54376502315765,"<b>Anita Hyland (Dem)</b><br>8,714 votes",19,19
3,Rep,64900,State House of Representatives - District 149,46.00498338870432,"<b>Ken Vance (I) (Rep)</b><br>11,078 votes",21,21
4,Dem,64900,State House of Representatives - District 149,53.995016611295675,"<b>Floyd Griffin (Dem)</b><br>13,002 votes",21,21
5,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
6,Rep,,Jones County: Clerk of Superior Court,100.0,"<b>Pamela D. Dixon (I) (Rep)</b><br>13,790 votes",10,10
7,Rep,,Jones County: Sheriff,100.0,"<b>Robert N. ""Butch"" Reece (I) (Rep)</b><br>14,399 votes",10,10
8,Rep,,Jones County: Tax Commissioner,100.0,"<b>Brian S. Jackson (I) (Rep)</b><br>14,094 votes",10,10
9,Rep,,Jones County: Coroner,100.0,"<b>Matthew E. Jarratt (I) (Rep)</b><br>13,834 votes",10,10
10,Rep,,Jones County: County Commission Chairman,100.0,"<b>Christopher E. Weidner (I) (Rep)</b><br>13,714 votes",10,10
11,Rep,,Jones County: County Commissioner - District 1,100.0,"<b>Sam Kitchens (I) (Rep)</b><br>3,988 votes",5,5
12,Rep,,Jones County: County Commissioner - District 2,100.0,"<b>M. John Wood (I) (Rep)</b><br>3,429 votes",6,6
13,Rep,,Jones County: County Commissioner - District 3,100.0,"<b>Wendy B. Vaughn (I) (Rep)</b><br>3,678 votes",6,6
14,Rep,,Jones County: County Commissioner - District 4,49.98449612403101,"<b>Alton West (Rep)</b><br>1,612 votes",4,4
15,Dem,,Jones County: County Commissioner - District 4,50.01550387596899,"<b>Daylon Martin (I) (Dem)</b><br>1,613 votes",4,4
16,,,Jones County: Piedmont Soil and Water District Supervisor,100.0,"<b>Ricky Yarbrough (I)</b><br>13,080 votes",10,10
17,,,Jones County: One (1%) Percent SPLOST,46.29291215246052,"<b>Yes</b><br>7,093 votes",10,10
18,,,Jones County: One (1%) Percent SPLOST,53.70708784753948,"<b>No</b><br>8,229 votes",10,10
19,,,Jones County: (S) Package Sales Resolution,62.80333915744516,"<b>Yes</b><br>9,705 votes",10,10
20,,,Jones County: (S) Package Sales Resolution,37.19666084255485,"<b>No</b><br>5,748 votes",10,10
