,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41600,State Senate - District 16,65.77130824864965,"<b>Marty Harbin (I) (Rep)</b><br>71,842 votes",54,54
1,Dem,41600,State Senate - District 16,34.22869175135036,"<b>Amili Blake (Dem)</b><br>37,388 votes",54,54
2,Rep,63400,State House of Representatives - District 134,100.0,"<b>Robert L. Dickey, III (I) (Rep)</b><br>25,043 votes",16,16
3,Rep,63500,State House of Representatives - District 135,100.0,"<b>Beth Camp (I) (Rep)</b><br>28,632 votes",21,21
4,Rep,73800,District Attorney - Towaliga Judicial Circuit,100.0,"<b>Jonathan L. Adams (I) (Rep)</b><br>34,958 votes",19,19
5,Rep,,Lamar County: Clerk of Superior Court,100.0,"<b>Caleb Tyson (I) (Rep)</b><br>8,797 votes",4,4
6,Rep,,Lamar County: Sheriff,100.0,"<b>Brad White (I) (Rep)</b><br>9,272 votes",4,4
7,Rep,,Lamar County: Tax Commissioner,100.0,"<b>Amanda G. Gamez (Rep)</b><br>8,941 votes",4,4
8,Rep,,Lamar County: Coroner,100.0,"<b>Clay Tillery (I) (Rep)</b><br>8,987 votes",4,4
9,Rep,,Lamar County: County Commissioner 3,100.0,"<b>Ashley Gilles (I) (Rep)</b><br>2,442 votes",1,1
10,Rep,,Lamar County: County Commissioner 4,100.0,"<b>Truman Boyle (Rep)</b><br>2,870 votes",1,1
11,Dem,,"Lamar County: Member, Board of Education District 1",100.0,"<b>James William Butler (I) (Dem)</b><br>1,236 votes",1,1
12,Rep,,"Lamar County: Member, Board of Education District 3",100.0,"<b>Glen Allen (Rep)</b><br>2,465 votes",1,1
13,,,Lamar County: Lamar County Homestead Exemption Referendum,68.9882400648824,"<b>Yes</b><br>6,805 votes",4,4
14,,,Lamar County: Lamar County Homestead Exemption Referendum,31.0117599351176,"<b>No</b><br>3,059 votes",4,4
15,,,Lamar County: Lamar County Soil and Water Conservation District Supervisor,100.0,"<b>Russ Walters (I)</b><br>8,525 votes",4,4
