,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
1,Rep,67600,State House of Representatives - District 176,100.0,"<b>James D. Burchett (I) (Rep)</b><br>19,364 votes",25,25
2,Rep,70000,District Attorney - Alapaha Judicial Circuit,100.0,"<b>Chase L. Studstill (I) (Rep)</b><br>21,795 votes",23,23
3,Rep,,Lanier County: Clerk of Superior Court,100.0,"<b>Patricia ""Patti"" Bass (Rep)</b><br>3,158 votes",1,1
4,Rep,,Lanier County: Sheriff,67.11882799782963,"<b>Charles ""Nick"" Norton (I) (Rep)</b><br>2,474 votes",1,1
5,Dem,,Lanier County: Sheriff,32.88117200217037,"<b>Billy Joe Foster (Dem)</b><br>1,212 votes",1,1
6,Rep,,Lanier County: Tax Commissioner,100.0,"<b>Rebecca S. Rampey (I) (Rep)</b><br>3,285 votes",1,1
7,Rep,,Lanier County: Coroner,100.0,"<b>Patches Phillips (I) (Rep)</b><br>3,213 votes",1,1
8,Rep,,Lanier County: County Commission Chairman,100.0,"<b>Alex Lee (I) (Rep)</b><br>3,119 votes",1,1
9,Rep,,Lanier County: County Commission - District 3,100.0,<b>Susan G. Bowling (I) (Rep)</b><br>791 votes,1,1
10,Rep,,Lanier County: County Commission - District 4,100.0,<b>Dennis Fender (I) (Rep)</b><br>997 votes,1,1
11,Rep,,"Lanier County: County BOE, Chair",100.0,"<b>Randy Sirmans (I) (Rep)</b><br>3,178 votes",1,1
12,Rep,,Lanier County: County BOE - District 2,100.0,"<b>John W. ""Jay Jay"" Strickland, Jr. (Rep)</b><br>847 votes",1,1
13,,,Lanier County: Soil and Water Conservation District - Alapaha District,100.0,"<b>Darrell Rodney Sirmans</b><br>3,141 votes",1,1
