,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
1,Rep,65500,State House of Representatives - District 155,100.0,"<b>Matt Hatchett (I) (Rep)</b><br>22,913 votes",19,19
2,Rep,71500,District Attorney - Dublin Judicial Circuit,100.0,"<b>Harold D. McLendon (Rep)</b><br>29,512 votes",26,26
3,Rep,,Laurens County: Clerk of Superior Court,68.07377409983273,"<b>Tanya L. Rogers (Rep)</b><br>15,465 votes",15,15
4,Dem,,Laurens County: Clerk of Superior Court,31.926225900167264,"<b>Beatrice D. Williams (Dem)</b><br>7,253 votes",15,15
5,Rep,,Laurens County: Sheriff,65.85556958168284,"<b>Larry H. Dean (I) (Rep)</b><br>15,129 votes",15,15
6,Dem,,Laurens County: Sheriff,34.14443041831716,"<b>Tyler A. Jackson (Dem)</b><br>7,844 votes",15,15
7,Rep,,Laurens County: Tax Commissioner,100.0,"<b>Darla Brown (Rep)</b><br>19,246 votes",15,15
8,Rep,,Laurens County: Coroner,100.0,"<b>Richard N. Stanley, III (I) (Rep)</b><br>19,913 votes",15,15
9,Rep,,Laurens County: County Commissioner - District 2,100.0,"<b>Lawton ""Trae"" Kemp (I) (Rep)</b><br>4,585 votes",7,7
10,Rep,,Laurens County: County Commissioner - District 3,100.0,"<b>Gerad F. Mathis (Rep)</b><br>4,781 votes",4,4
