,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,65200,State House of Representatives - District 152,100.0,"<b>William J. 'Bill' Yearta (I) (Rep)</b><br>25,258 votes",25,25
2,Ind,73300,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
3,Rep,,Lee County: Clerk of Superior Court,100.0,"<b>Sara Reeves Clark (I) (Rep)</b><br>15,312 votes",10,10
4,Rep,,Lee County: Sheriff,100.0,"<b>Reggie D. Rachals (I) (Rep)</b><br>15,661 votes",10,10
5,Rep,,Lee County: Tax Commissioner,100.0,"<b>Wendy L. David (Rep)</b><br>15,382 votes",10,10
6,Rep,,Lee County: Coroner,100.0,"<b>Hill Mackey (I) (Rep)</b><br>15,398 votes",10,10
7,Rep,,Lee County: County Commission - District 2,100.0,"<b>Luke Singletary (I) (Rep)</b><br>2,685 votes",7,7
8,Rep,,Lee County: County Commission - District 4,100.0,"<b>Chris Guarnieri (I) (Rep)</b><br>2,962 votes",3,3
9,Rep,,Lee County: County Commission - District 5,100.0,"<b>George E. Walls, Sr. (I) (Rep)</b><br>3,418 votes",2,2
10,,,Lee County: Lower Chattahoochee River Soil and Water District Supervisor,100.0,"<b>Allison Renee McDonald</b><br>14,819 votes",10,10
