,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40100,State Senate - District 1,100.0,"<b>Ben Watson (I) (Rep)</b><br>76,992 votes",49,49
1,Rep,66700,State House of Representatives - District 167,70.56756281848533,"<b>Buddy Deloach (I) (Rep)</b><br>20,080 votes",22,22
2,Dem,66700,State House of Representatives - District 167,29.432437181514672,"<b>Rebekah Moore (Dem)</b><br>8,375 votes",22,22
3,Dem,66800,State House of Representatives - District 168,100.0,"<b>Al Williams (I) (Dem)</b><br>18,106 votes",12,12
4,Dem,,Liberty County: Probate Court Judge,100.0,"<b>Nancy K. Aspinwall (I) (Dem)</b><br>19,129 votes",12,12
5,Dem,,Liberty County: Superior Court Clerk,100.0,"<b>Linda Dixon Thompson (I) (Dem)</b><br>18,914 votes",12,12
6,Rep,,Liberty County: Sheriff,37.32220160791589,"<b>Gary Eason (Rep)</b><br>8,449 votes",12,12
7,Dem,,Liberty County: Sheriff,62.67779839208411,"<b>Will Bowman (I) (Dem)</b><br>14,189 votes",12,12
8,Dem,,Liberty County: Tax Commissioner,100.0,"<b>James ""Jamie"" Sharp (Dem)</b><br>18,639 votes",12,12
9,Dem,,Liberty County: Coroner,100.0,"<b>Reginald L. Pierce, Sr. (I) (Dem)</b><br>19,027 votes",12,12
10,Dem,,Liberty County: Chief Magistrate,100.0,"<b>Michael J. McGirt (I) (Dem)</b><br>18,636 votes",12,12
11,Dem,,Liberty County: State Court Solicitor,100.0,"<b>Ches Merritt (Dem)</b><br>18,470 votes",12,12
12,Rep,,Liberty County: Board of Commissioners,39.030555678744065,"<b>Michael Navarro (Rep)</b><br>8,801 votes",12,12
13,Dem,,Liberty County: Board of Commissioners,60.96944432125593,"<b>Donald L. Lovette (I) (Dem)</b><br>13,748 votes",12,12
14,Rep,,Liberty County: Board of Commissioners - District 4,64.74379632613599,"<b>Timmy Blount (Rep)</b><br>2,009 votes",4,4
15,Dem,,Liberty County: Board of Commissioners - District 4,35.256203673864,"<b>Maxie R. Jones, IV (I) (Dem)</b><br>1,094 votes",4,4
16,Dem,,Liberty County: Board of Commissioners - District 5,100.0,"<b>Gary Gilliard (I) (Dem)</b><br>3,412 votes",6,6
17,Dem,,Liberty County: Board of Commissioners - District 6,100.0,"<b>Eddie J. Walden (I) (Dem)</b><br>3,284 votes",5,5
18,,,Liberty County: Coastal Soil and Water District Supervisor,100.0,"<b>Andrew J. Standard (I)</b><br>19,243 votes",12,12
19,,,Liberty County: Liberty Special T-SPLOST,47.571668711098994,"<b>Yes</b><br>10,471 votes",12,12
20,,,Liberty County: Liberty Special T-SPLOST,52.428331288901006,"<b>No</b><br>11,540 votes",12,12
