,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
1,Rep,62300,State House of Representatives - District 123,73.2178867513844,"<b>Rob Leverett (I) (Rep)</b><br>22,874 votes",34,34
2,Dem,62300,State House of Representatives - District 123,26.7821132486156,"<b>Hope S. Beard (Dem)</b><br>8,367 votes",34,34
3,Dem,73700,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
4,Rep,,Lincoln County: Probate Court Judge,76.18949958982772,"<b>Leighton Taylor (I) (Rep)</b><br>3,715 votes",7,7
5,Dem,,Lincoln County: Probate Court Judge,23.81050041017227,"<b>Cortney Elam (Dem)</b><br>1,161 votes",7,7
6,Rep,,Lincoln County: Clerk of Superior Court,100.0,"<b>Amanda Doss (I) (Rep)</b><br>4,310 votes",7,7
7,Rep,,Lincoln County: Sheriff,100.0,"<b>Clay Smith (Rep)</b><br>4,273 votes",7,7
8,Rep,,Lincoln County: Tax Commissioner,100.0,"<b>Linda Willgus (Rep)</b><br>4,344 votes",7,7
9,Rep,,Lincoln County: Coroner,100.0,"<b>Tim Quarles (I) (Rep)</b><br>4,277 votes",7,7
10,Rep,,Lincoln County: County Commission Chairman/Person,73.75650364203953,"<b>Walker Norman (I) (Rep)</b><br>3,544 votes",7,7
11,Dem,,Lincoln County: County Commission Chairman/Person,26.243496357960456,"<b>Denise Freeman (Dem)</b><br>1,261 votes",7,7
12,Rep,,Lincoln County: Board of Commissioners - District 3,100.0,<b>Cooper Cliatt (I) (Rep)</b><br>990 votes,2,2
13,Rep,,Lincoln County: Board of Commissioners - District 4,100.0,"<b>Stan Tankersley (I) (Rep)</b><br>1,164 votes",2,2
