,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,66700,State House of Representatives - District 167,70.56756281848533,"<b>Buddy Deloach (I) (Rep)</b><br>20,080 votes",22,22
2,Dem,66700,State House of Representatives - District 167,29.432437181514672,"<b>Rebekah Moore (Dem)</b><br>8,375 votes",22,22
3,Rep,,Long County: Clerk of Superior Court,100.0,"<b>Sherry M. Long (I) (Rep)</b><br>6,096 votes",7,7
4,Rep,,Long County: Sheriff,67.04858593183467,"<b>Craig Nobles (I) (Rep)</b><br>4,623 votes",7,7
5,Dem,,Long County: Sheriff,32.951414068165334,"<b>Rondy Bacon (Dem)</b><br>2,272 votes",7,7
6,Rep,,Long County: Coroner,100.0,"<b>Nickey Anderson (Rep)</b><br>5,987 votes",7,7
7,Rep,,Long County: Board of Commissioners - District 1,52.29982964224872,<b>Gerald M. Blocker (I) (Rep)</b><br>614 votes,3,3
8,Dem,,Long County: Board of Commissioners - District 1,47.700170357751276,<b>David Richardson (Dem)</b><br>560 votes,3,3
9,Rep,,Long County: Board of Commissioners - District 4,100.0,"<b>Jeremy Hall (I) (Rep)</b><br>1,170 votes",2,2
10,Rep,,Long County: Board of Commissioners - District 5,100.0,<b>Robert Parker (I) (Rep)</b><br>675 votes,6,6
11,,,Long County: Coastal Soil & Water District Supervisor,100.0,"<b>H. Cecil Stafford, Jr. (I)</b><br>5,969 votes",7,7
