,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
1,Rep,50900,State House of Representatives - District 9,100.0,"<b>William S. Wade (I) (Rep)</b><br>32,101 votes",7,7
2,Rep,52700,State House of Representatives - District 27,100.0,"<b>Lee Hawkins (I) (Rep)</b><br>30,558 votes",12,12
3,Rep,,Lumpkin County: Clerk of Superior Court,100.0,"<b>Rita Harkins (I) (Rep)</b><br>15,826 votes",1,1
4,Rep,,Lumpkin County: Sheriff,100.0,"<b>Stacy M. Jarrard (I) (Rep)</b><br>16,101 votes",1,1
5,Rep,,Lumpkin County: Tax Commissioner,100.0,"<b>Mike Young (I) (Rep)</b><br>15,550 votes",1,1
6,Rep,,Lumpkin County: Surveyor,100.0,"<b>John Gaston (I) (Rep)</b><br>15,584 votes",1,1
7,Rep,,Lumpkin County: Coroner,100.0,"<b>Mark H. Cox (I) (Rep)</b><br>15,569 votes",1,1
8,Rep,,Lumpkin County: County Commission Chairperson,100.0,"<b>Chris Dockery (I) (Rep)</b><br>15,391 votes",1,1
9,Rep,,Lumpkin County: County Commissioner - District 1,100.0,"<b>Tucker Greene (I) (Rep)</b><br>15,387 votes",1,1
10,Rep,,Lumpkin County: County Commissioner - District 2,100.0,"<b>Bobby Mayfield (I) (Rep)</b><br>15,567 votes",1,1
