,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41500,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
1,Rep,65000,State House of Representatives - District 150,46.756212222968436,"<b>Cary Moore (Rep)</b><br>10,443 votes",22,22
2,Dem,65000,State House of Representatives - District 150,53.24378777703156,"<b>Patty Marie Stinson (I) (Dem)</b><br>11,892 votes",22,22
3,Ind,73300,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
4,Rep,,Macon County: Probate/Magistrate Judge,100.0,"<b>Thomas Martin (I) (Rep)</b><br>3,621 votes",5,5
5,Dem,,Macon County: Clerk of Superior Court,100.0,"<b>Terresena Haugabook Harp (Dem)</b><br>3,458 votes",5,5
6,Rep,,Macon County: Sheriff,43.178836904241365,"<b>Richard Martin (Rep)</b><br>1,975 votes",5,5
7,Dem,,Macon County: Sheriff,56.82116309575863,"<b>Jeffery Butch Canady (Dem)</b><br>2,599 votes",5,5
8,Rep,,Macon County: Tax Commissioner,39.88068935041979,"<b>Becky A. Jones (Rep)</b><br>1,805 votes",5,5
9,Dem,,Macon County: Tax Commissioner,60.11931064958021,"<b>Wendy M. Hannor (Dem)</b><br>2,721 votes",5,5
10,Rep,,Macon County: Coroner,33.408679927667265,"<b>Jason W. Roberts (Rep)</b><br>1,478 votes",5,5
11,Dem,,Macon County: Coroner,66.59132007233272,"<b>Eddie ""ET"" Hosley, Jr. (Dem)</b><br>2,946 votes",5,5
12,Dem,,Macon County: County Commissioner 2,100.0,<b>C. Ben Haugabook (I) (Dem)</b><br>766 votes,1,1
13,Rep,,Macon County: County Commissioner 4,100.0,<b>Linda M. Barfield (Rep)</b><br>727 votes,1,1
14,Dem,,Macon County: County BOE 3,100.0,<b>Euguene Felton (I) (Dem)</b><br>748 votes,1,1
15,Dem,,Macon County: County BOE 5,100.0,<b>Ann Brown Harris (I) (Dem)</b><br>732 votes,1,1
