,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44700,State Senate - District 47,62.60958164778516,"<b>Frank Ginn (I) (Rep)</b><br>62,063 votes",41,41
1,Dem,44700,State Senate - District 47,37.39041835221484,"<b>Conolus Scott (Dem)</b><br>37,064 votes",41,41
2,Rep,53300,State House of Representatives - District 33,100.0,"<b>Alan Powell (I) (Rep)</b><br>29,061 votes",20,20
3,Rep,62300,State House of Representatives - District 123,73.2178867513844,"<b>Rob Leverett (I) (Rep)</b><br>22,874 votes",34,34
4,Dem,62300,State House of Representatives - District 123,26.7821132486156,"<b>Hope S. Beard (Dem)</b><br>8,367 votes",34,34
5,Rep,72500,District Attorney - Northern Judicial Circuit,100.0,"<b>D. Parks White (I) (Rep)</b><br>52,469 votes",40,40
6,Rep,,Madison County: Clerk of Superior Court,100.0,"<b>Katie Cross (I) (Rep)</b><br>14,879 votes",12,12
7,Rep,,Madison County: Sheriff,100.0,"<b>J. Michael Moore (I) (Rep)</b><br>14,862 votes",12,12
8,Rep,,Madison County: Tax Commissioner,100.0,"<b>Lamar Dalton (I) (Rep)</b><br>14,852 votes",12,12
9,Rep,,Madison County: County Surveyor,100.0,"<b>Gary Harvin (I) (Rep)</b><br>14,608 votes",12,12
10,Rep,,Madison County: Coroner,100.0,"<b>Scott R. Berry (Rep)</b><br>14,663 votes",12,12
11,Rep,,Madison County: Chairman Board of Commissioners,100.0,"<b>Todd Higdon (I) (Rep)</b><br>14,442 votes",12,12
12,Rep,,Madison County: Board of Commissioners - District 1,82.06917475728154,"<b>Dennis F. Adams (I) (Rep)</b><br>2,705 votes",4,4
13,Dem,,Madison County: Board of Commissioners - District 1,17.930825242718445,<b>Dave Ramsey (Dem)</b><br>591 votes,4,4
14,Rep,,Madison County: Board of Commissioners - District 2,100.0,"<b>Terry Chandler (I) (Rep)</b><br>3,111 votes",3,3
