,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41500,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
1,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
2,Rep,70800,District Attorney - Chattahoochee Judicial Circuit,51.765460587863174,"<b>Don Kelly (I) (Rep)</b><br>58,100 votes",53,53
3,Dem,70800,District Attorney - Chattahoochee Judicial Circuit,48.23453941213682,"<b>Anthony Johnson (Dem)</b><br>54,137 votes",53,53
4,Rep,,Marion County: Probate Court,100.0,"<b>Heather Stuart (I) (Rep)</b><br>3,136 votes",5,5
5,Dem,,Marion County: Clerk of Superior Court,100.0,"<b>Joy Smith (I) (Dem)</b><br>2,870 votes",5,5
6,Rep,,Marion County: Sheriff,41.72222222222222,"<b>Micheal Kirby (Rep)</b><br>1,502 votes",5,5
7,Dem,,Marion County: Sheriff,58.27777777777777,"<b>Derrell Neal (I) (Dem)</b><br>2,098 votes",5,5
8,Rep,,Marion County: Tax Commissioner,100.0,"<b>Phylis Blocker (I) (Rep)</b><br>3,122 votes",5,5
9,Rep,,Marion County: County Commission 1,36.86224489795919,<b>Heather Raulston (Rep)</b><br>289 votes,2,2
10,Dem,,Marion County: County Commission 1,63.13775510204081,<b>Coach Norman Royal (I) (Dem)</b><br>495 votes,2,2
11,Rep,,Marion County: County Commission 4,37.32876712328767,<b>Lance G. Scott (Rep)</b><br>327 votes,1,1
12,Dem,,Marion County: County Commission 4,62.671232876712324,"<b>George Neal, Jr. (Dem)</b><br>549 votes",1,1
13,Rep,,Marion County: County Commmission - At Large,100.0,"<b>Marshall Fontaine (I) (Rep)</b><br>2,968 votes",5,5
14,,,Marion County: Soil and Water Conservation District Supervisor - Pine Mountain,100.0,"<b>Joseph Wells (I)</b><br>2,894 votes",5,5
