,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,62500,State House of Representatives - District 125,64.50293324877121,"<b>Gary Richardson (I) (Rep)</b><br>20,341 votes",18,18
3,Dem,62500,State House of Representatives - District 125,35.49706675122879,"<b>Kay Turner (Dem)</b><br>11,194 votes",18,18
4,Rep,62800,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
5,Dem,62800,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
6,Dem,73700,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
7,Rep,,McDuffie County: Clerk of Superior Court,100.0,"<b>Gina J. Timmerman (Rep)</b><br>8,579 votes",7,7
8,Dem,,McDuffie County: Sheriff,100.0,"<b>Logan Marshall (I) (Dem)</b><br>8,698 votes",7,7
9,Rep,,McDuffie County: Tax Commissioner,100.0,"<b>Stacey W. Thomas (I) (Rep)</b><br>8,829 votes",7,7
10,Rep,,McDuffie County: Coroner,100.0,"<b>Paul F. Johnson (I) (Rep)</b><br>8,678 votes",7,7
11,Rep,,"McDuffie County: Chairperson, Board of Commissioners",67.42028985507247,"<b>Chase Beggs (Rep)</b><br>6,978 votes",7,7
12,Dem,,"McDuffie County: Chairperson, Board of Commissioners",32.57971014492754,"<b>Jarvis McNair (Dem)</b><br>3,372 votes",7,7
13,Rep,,"McDuffie County: Member, Board of Commissioners - District 2 Seat A",100.0,"<b>Steven Hollimon (Rep)</b><br>5,284 votes",5,5
14,Rep,,"McDuffie County: Member, Board of Commissioners - District 2 Seat B",100.0,"<b>Bill Jopling (I) (Rep)</b><br>5,374 votes",5,5
15,,,McDuffie County: McDuffie Co. Soil and Water Supervisor,52.449388516548055,"<b>Russell E. Barnes (I)</b><br>7,591 votes",7,7
16,,,McDuffie County: McDuffie Co. Soil and Water Supervisor,47.550611483451945,"<b>Patrick A. Lunceford (I)</b><br>6,882 votes",7,7
