,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40300,State Senate - District 3,100.0,"<b>Mike Hodges (I) (Rep)</b><br>77,114 votes",48,48
1,Rep,66700,State House of Representatives - District 167,70.56756281848533,"<b>Buddy Deloach (I) (Rep)</b><br>20,080 votes",22,22
2,Dem,66700,State House of Representatives - District 167,29.432437181514672,"<b>Rebekah Moore (Dem)</b><br>8,375 votes",22,22
3,Rep,,McIntosh County: Clerk of Superior Court,100.0,"<b>Mandy Harrison (I) (Rep)</b><br>5,869 votes",5,5
4,Rep,,McIntosh County: Sheriff,47.51590632191688,"<b>Chris Mitchell  (Rep)</b><br>3,510 votes",5,5
5,Dem,,McIntosh County: Sheriff,52.48409367808312,"<b>Thornell ""TK"" King (Dem)</b><br>3,877 votes",5,5
6,Rep,,McIntosh County: Tax Commissioner,100.0,"<b>Wanda G. Nelson (I) (Rep)</b><br>6,134 votes",5,5
7,Rep,,McIntosh County: Coroner,100.0,"<b>Melvin Amerson (I) (Rep)</b><br>6,084 votes",5,5
8,Rep,,McIntosh County: County Commissioner - District 2,100.0,"<b>Chris Jarriel (Rep)</b><br>1,417 votes",1,1
9,Rep,,McIntosh County: County Commissioner - District 4,100.0,"<b>Henderson Hope (Rep)</b><br>1,858 votes",1,1
10,Rep,,McIntosh County: County BOE Chairman - District 5,100.0,"<b>Michelle Brigman (I) (Rep)</b><br>5,749 votes",5,5
11,Rep,,McIntosh County: County BOE - District 2,100.0,"<b>Galin Hulett (I) (Rep)</b><br>1,433 votes",1,1
12,Rep,,McIntosh County: County BOE - District 4,100.0,"<b>SANDY L JENNINGS (Rep)</b><br>1,865 votes",1,1
13,,,McIntosh County: Coastal Soil and Water District Supervisor,100.0,"<b>Robert Francis Gore</b><br>5,526 votes",5,5
14,,,McIntosh County: (S) One Percent Transportation SPLOST,43.340501792114694,"<b>Yes</b><br>3,023 votes",5,5
15,,,McIntosh County: (S) One Percent Transportation SPLOST,56.659498207885306,"<b>No</b><br>3,952 votes",5,5
16,,,McIntosh County: (S) McIntosh Redevelopment Power Law,36.58393302981348,"<b>Yes</b><br>2,491 votes",5,5
17,,,McIntosh County: (S) McIntosh Redevelopment Power Law,63.41606697018651,"<b>No</b><br>4,318 votes",5,5
18,,,McIntosh County: (S) Darien Revelopment Power Law,40.625,<b>Yes</b><br>390 votes,2,2
19,,,McIntosh County: (S) Darien Revelopment Power Law,59.375,<b>No</b><br>570 votes,2,2
