,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65400,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
2,Rep,,Miller County: Clerk of Superior Court,100.0,"<b>Gail Johnson (I) (Rep)</b><br>2,302 votes",1,1
3,Rep,,Miller County: Sheriff,69.72305389221557,"<b>Garison Clenney (Rep)</b><br>1,863 votes",1,1
4,Dem,,Miller County: Sheriff,30.27694610778443,<b>Robert Grier (Dem)</b><br>809 votes,1,1
5,Rep,,Miller County: Tax Commissioner,54.20699925539836,"<b>Livvy Suggs (Rep)</b><br>1,456 votes",1,1
6,Dem,,Miller County: Tax Commissioner,45.793000744601635,"<b>Jennifer Grier Jackson (I) (Dem)</b><br>1,230 votes",1,1
7,Dem,,Miller County: Coroner,100.0,"<b>Danny B. Sheffield (I) (Dem)</b><br>2,263 votes",1,1
8,Dem,,Miller County: County Commission - District 1,100.0,<b>Cristene Bush Edwards (I) (Dem)</b><br>344 votes,1,1
9,Rep,,Miller County: County Commission - District 3,84.04605263157895,<b>Keith Bowen (Rep)</b><br>511 votes,1,1
10,Dem,,Miller County: County Commission - District 3,15.953947368421053,<b>Melvin Williams (Dem)</b><br>97 votes,1,1
11,Rep,,Miller County: County Commission - District 5,100.0,<b>Clifton Ladon Calhoun (I) (Rep)</b><br>535 votes,1,1
12,Dem,,Miller County: County BOE - District 1,100.0,<b>Leroy Bush (I) (Dem)</b><br>349 votes,1,1
13,Rep,,Miller County: County BOE - District 3,100.0,<b>Kurt Vickers (Rep)</b><br>535 votes,1,1
14,Rep,,Miller County: County BOE - District 5,100.0,<b>Cody Cleveland (I) (Rep)</b><br>549 votes,1,1
