,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,67100,State House of Representatives - District 171,100.0,"<b>Joe Campbell (I) (Rep)</b><br>19,633 votes",28,28
2,Rep,73100,District Attorney - South Georgia Judicial Circuit,100.0,"<b>Joe Mulholland (I) (Rep)</b><br>27,815 votes",44,44
3,Rep,,Mitchell County: Solicitor General - State Court,100.0,"<b>Tabitha Payne Miller (Rep)</b><br>7,029 votes",11,11
4,Dem,,Mitchell County: Clerk of Superior Court,100.0,"<b>Tess Gay (I) (Dem)</b><br>7,065 votes",11,11
5,Rep,,Mitchell County: Sheriff,28.526899099515123,"<b>Danny Ashley (Rep)</b><br>2,471 votes",11,11
6,Dem,,Mitchell County: Sheriff,71.47310090048488,"<b>W.E. Bozeman (I) (Dem)</b><br>6,191 votes",11,11
7,Rep,,Mitchell County: Tax Commissioner,100.0,"<b>Brian Brock (I) (Rep)</b><br>7,379 votes",11,11
8,Rep,,Mitchell County: Coroner,59.51286764705882,"<b>Robby Willis (Rep)</b><br>5,180 votes",11,11
9,Dem,,Mitchell County: Coroner,40.487132352941174,"<b>Ronald Spence (Dem)</b><br>3,524 votes",11,11
10,Dem,,Mitchell County: County Commission - District 2,100.0,"<b>B. Keith Jones (I) (Dem)</b><br>1,516 votes",2,2
11,Rep,,Mitchell County: County Commission - District 4,100.0,"<b>Julius C. Hatcher (I) (Rep)</b><br>1,314 votes",3,3
12,Rep,,Mitchell County: County Commission - District 5,100.0,"<b>David Griner (Rep)</b><br>1,326 votes",4,4
13,Dem,,Mitchell County: Chief Magistrate,100.0,"<b>E.P. ""Bubba"" Lamb (I) (Dem)</b><br>7,258 votes",11,11
