,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41800,State Senate - District 18,100.0,"<b>John F. Kennedy (I) (Rep)</b><br>80,984 votes",48,48
1,Rep,61800,State House of Representatives - District 118,66.7787428784907,"<b>Clint Crowe (I) (Rep)</b><br>21,450 votes",13,13
2,Dem,61800,State House of Representatives - District 118,33.221257121509296,"<b>Sharonda Bell (Dem)</b><br>10,671 votes",13,13
3,Rep,64400,State House of Representatives - District 144,74.45623497684235,"<b>Dale Washburn (I) (Rep)</b><br>25,400 votes",19,19
4,Dem,64400,State House of Representatives - District 144,25.54376502315765,"<b>Anita Hyland (Dem)</b><br>8,714 votes",19,19
5,Rep,64500,State House of Representatives - District 145,49.49502423143798,"<b>Noah Redding Harbuck (Rep)</b><br>13,379 votes",16,16
6,Dem,64500,State House of Representatives - District 145,50.50497576856202,"<b>Tangie Herring (Dem)</b><br>13,652 votes",16,16
7,Rep,73800,District Attorney - Towaliga Judicial Circuit,100.0,"<b>Jonathan L. Adams (I) (Rep)</b><br>34,958 votes",19,19
8,Rep,,Monroe County: Clerk of Superior Court,100.0,"<b>Lindsey McPipkin Taylor (I) (Rep)</b><br>15,231 votes",14,14
9,Rep,,Monroe County: Sheriff,100.0,"<b>William B. ""Brad"" Freeman, III (I) (Rep)</b><br>15,615 votes",14,14
10,Rep,,Monroe County: Tax Commissioner,100.0,"<b>Lori D. Andrews (I) (Rep)</b><br>15,697 votes",14,14
11,Rep,,Monroe County: Coroner,100.0,"<b>Mark L. Goolsby (Rep)</b><br>15,476 votes",14,14
12,Rep,,Monroe County: Chief Magistrate,100.0,"<b>Frank N. “Buck” Wilder, IV (I) (Rep)</b><br>15,532 votes",14,14
13,Rep,,Monroe County: Commission Chair,100.0,"<b>Alan Gibbs (Rep)</b><br>15,181 votes",14,14
14,Ind,,Monroe County: County Commission 1,100.0,"<b>Lamarcus Davis (I) (Ind)</b><br>2,769 votes",4,4
15,Rep,,Monroe County: County Commission 2,100.0,"<b>Eddie Rowland (I) (Rep)</b><br>4,287 votes",9,9
16,,,Monroe County: SPLOST Referendum,57.379933149592446,"<b>Yes</b><br>9,785 votes",14,14
17,,,Monroe County: SPLOST Referendum,42.620066850407554,"<b>No</b><br>7,268 votes",14,14
18,,,Monroe County: City of Culloden Mayor,100.0,<b>Lynn C. Miller (I)</b><br>88 votes,1,1
19,,,Monroe County: City of Culloden Council Members - At Large VF2,25.850340136054424,<b>Aaron Hester</b><br>38 votes,1,1
20,,,Monroe County: City of Culloden Council Members - At Large VF2,43.53741496598639,<b>Jimmy Pierson</b><br>64 votes,1,1
21,,,Monroe County: City of Culloden Council Members - At Large VF2,30.612244897959183,<b>Jacob S. Sanders</b><br>45 votes,1,1
22,,,Monroe County: County Commission - District 4 (SE),22.97542043984476,<b>Mark C. Dagostino</b><br>888 votes,6,6
23,,,Monroe County: County Commission - District 4 (SE),18.576972833117722,<b>B. David Hunter</b><br>718 votes,6,6
24,,,Monroe County: County Commission - District 4 (SE),17.41267787839586,<b>Larry Stewart</b><br>673 votes,6,6
25,,,Monroe County: County Commission - District 4 (SE),27.658473479948253,"<b>Albert ""Al"" Turner</b><br>1,069 votes",6,6
26,,,Monroe County: County Commission - District 4 (SE),13.376455368693401,<b>Doug Williams</b><br>517 votes,6,6
