,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,65600,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
2,Rep,72700,District Attorney - Oconee Judicial Circuit,100.0,"<b>Timothy G. Vaughn (I) (Rep)</b><br>23,986 votes",29,29
3,Rep,,Montgomery County: Probate Judge,100.0,"<b>Stacie Sharpe Randolph (Rep)</b><br>3,422 votes",3,3
4,Rep,,Montgomery County: Clerk of Superior Court,100.0,"<b>Tammy C. Foskey (I) (Rep)</b><br>3,471 votes",3,3
5,Rep,,Montgomery County: Sheriff,100.0,"<b>Ben Maybin (Rep)</b><br>3,591 votes",3,3
6,Rep,,Montgomery County: Tax Commissioner,52.55849832861919,"<b>Renee Wooten-Perry (Rep)</b><br>2,044 votes",3,3
7,Dem,,Montgomery County: Tax Commissioner,47.44150167138082,"<b>Loretta Lane (I) (Dem)</b><br>1,845 votes",3,3
8,Rep,,Montgomery County: Coroner,100.0,"<b>Laurie Sharpe Holland (I) (Rep)</b><br>3,467 votes",3,3
9,Rep,,Montgomery County: County Commission - District 1,100.0,"<b>Jimmy ""Pedro"" Sharpe (Rep)</b><br>855 votes",2,2
10,Rep,,Montgomery County: County Commission - District 2,82.93333333333334,<b>Amie Vassey (Rep)</b><br>622 votes,2,2
11,Dem,,Montgomery County: County Commission - District 2,17.066666666666666,<b>Stephanie Love Ivey (Dem)</b><br>128 votes,2,2
12,Rep,,Montgomery County: County Commission - District 3,74.66007416563659,<b>Ginger Byrd Morris (I) (Rep)</b><br>604 votes,2,2
13,Dem,,Montgomery County: County Commission - District 3,25.339925834363413,<b>Linda Jackson Page (Dem)</b><br>205 votes,2,2
14,,,Montgomery County: Ohoopee River Soil and Water District Supervisor,100.0,"<b>Drew Conner</b><br>3,320 votes",3,3
15,,,Montgomery County: (S) City Council (Rollins),50.58139534883721,<b>Tonya M. Donaldson</b><br>87 votes,1,1
16,,,Montgomery County: (S) City Council (Rollins),49.41860465116279,<b>Stephanie Kerr</b><br>85 votes,1,1
17,,,Montgomery County: (S) City Council (Braddy),100.0,<b>Jeff Adams</b><br>165 votes,1,1
18,,,Montgomery County: (S) City Council (Sammons),100.0,<b>Steve Calhoun</b><br>175 votes,1,1
