,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44200,State Senate - District 42,58.238443275452724,"<b>Brian Strickland (I) (Rep)</b><br>62,551 votes",40,40
1,Dem,44200,State Senate - District 42,41.76155672454727,"<b>Kacy D. Morgan (Dem)</b><br>44,854 votes",40,40
2,Rep,61400,State House of Representatives - District 114,100.0,"<b>Tim Fleming (I) (Rep)</b><br>30,394 votes",14,14
3,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
4,Rep,,Morgan County: Clerk of Superior Court,100.0,"<b>Jody Milford Higdon (I) (Rep)</b><br>11,349 votes",5,5
5,Rep,,Morgan County: Sheriff,71.10074198730207,"<b>Tyler Hooks (Rep)</b><br>9,295 votes",5,5
6,Dem,,Morgan County: Sheriff,28.899258012697928,"<b>Derrick A. Reid, Sr. (Dem)</b><br>3,778 votes",5,5
7,Rep,,Morgan County: Tax Commissioner,100.0,"<b>Wendy J. Coe (I) (Rep)</b><br>11,666 votes",5,5
8,Rep,,Morgan County: Coroner,100.0,"<b>Adam E. Carter (I) (Rep)</b><br>11,594 votes",5,5
9,Rep,,Morgan County: County Commission - District 3,100.0,"<b>Ben M. Riden, Jr. (I) (Rep)</b><br>2,356 votes",1,1
10,Rep,,Morgan County: County Commission - District 4,100.0,"<b>Philipp von Hanstein (I) (Rep)</b><br>2,461 votes",1,1
11,Rep,,Morgan County: County Commission - District 5,82.36130867709815,"<b>Bill Kurtz (I) (Rep)</b><br>2,316 votes",1,1
12,Dem,,Morgan County: County Commission - District 5,17.63869132290185,<b>Claudia Regan Crenshaw (Dem)</b><br>496 votes,1,1
13,Dem,,Morgan County: County BOE - District 1,100.0,"<b>Cheryl Y. Bland (I) (Dem)</b><br>1,650 votes",1,1
14,Rep,,Morgan County: County BOE - District 2,100.0,"<b>Joe Slaughter (I) (Rep)</b><br>2,378 votes",1,1
15,Rep,,Morgan County: County BOE - District 3,100.0,"<b>Brad Hawk (I) (Rep)</b><br>2,423 votes",1,1
