,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45400,State Senate - District 54,100.0,"<b>Chuck Payne (I) (Rep)</b><br>69,447 votes",39,39
1,Rep,50600,State House of Representatives - District 6,85.30066815144765,"<b>Jason T. Ridley (I) (Rep)</b><br>22,597 votes",14,14
2,Dem,50600,State House of Representatives - District 6,14.699331848552339,"<b>Cathy Kott (Dem)</b><br>3,894 votes",14,14
3,Rep,71100,District Attorney - Conasauga Judicial Circuit,100.0,"<b>Benjamin Kenemer (I) (Rep)</b><br>48,720 votes",30,30
4,Rep,,Murray County: Judge of the Probate Court,100.0,"<b>John P. Waters (I) (Rep)</b><br>15,780 votes",7,7
5,Rep,,Murray County: Clerk of the Superior Court,100.0,"<b>Donna Flood (I) (Rep)</b><br>15,805 votes",7,7
6,Rep,,Murray County: Sheriff,100.0,"<b>Jimmy Davenport (I) (Rep)</b><br>15,685 votes",7,7
7,Rep,,Murray County: Tax Commissioner,100.0,"<b>Billy R. Childers (I) (Rep)</b><br>15,657 votes",7,7
8,Rep,,Murray County: Coroner,100.0,"<b>Jason Gibson (I) (Rep)</b><br>15,500 votes",7,7
9,Rep,,Murray County: Sole County Commissioner,84.79941559627443,"<b>Noah Bishop (Rep)</b><br>13,930 votes",7,7
10,Ind,,Murray County: Sole County Commissioner,15.200584403725573,"<b>Logan White (Ind)</b><br>2,497 votes",7,7
11,Rep,,Murray County: County BOE - District 1,80.26710776205354,"<b>Sheila Pittman Simpson (Rep)</b><br>13,102 votes",7,7
12,Ind,,Murray County: County BOE - District 1,19.732892237946455,"<b>Jay Choate (Ind)</b><br>3,221 votes",7,7
13,Rep,,Murray County: County BOE - District 2,100.0,"<b>Renda Baggett (I) (Rep)</b><br>15,311 votes",7,7
14,Rep,,Murray County: County BOE - District 3,100.0,"<b>Tony Abernathy (Rep)</b><br>15,246 votes",7,7
15,Rep,,Murray County: County BOE - District 4,100.0,"<b>Hunter Phillips (Rep)</b><br>15,236 votes",7,7
16,,,Murray County: Impose 1% Sales and Use Tax,52.49984958787076,"<b>Yes</b><br>8,726 votes",7,7
17,,,Murray County: Impose 1% Sales and Use Tax,47.50015041212923,"<b>No</b><br>7,895 votes",7,7
