,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41500,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
1,Rep,42900,State Senate - District 29,65.2341763613155,"<b>Randy Robertson (I) (Rep)</b><br>62,859 votes",48,48
2,Dem,42900,State Senate - District 29,34.7658236386845,"<b>Ellen T. Wright (Dem)</b><br>33,500 votes",48,48
3,Rep,63700,State House of Representatives - District 137,40.32305868405454,"<b>Stephen Acorn (Rep)</b><br>10,884 votes",24,24
4,Dem,63700,State House of Representatives - District 137,59.67694131594546,"<b>Debbie G. Buckner (I) (Dem)</b><br>16,108 votes",24,24
5,Rep,63800,State House of Representatives - District 138,100.0,"<b>Vance C. Smith, Jr. (I) (Rep)</b><br>28,129 votes",17,17
6,Rep,63900,State House of Representatives - District 139,64.13197013519876,"<b>Carmen Rice (I) (Rep)</b><br>19,069 votes",10,10
7,Dem,63900,State House of Representatives - District 139,35.86802986480124,"<b>Carl Sprayberry (Dem)</b><br>10,665 votes",10,10
8,Dem,64000,State House of Representatives - District 140,100.0,"<b>Tremaine Teddy Reese (I) (Dem)</b><br>12,939 votes",8,8
9,Dem,64100,State House of Representatives - District 141,100.0,"<b>Carolyn F. Hugley (I) (Dem)</b><br>18,479 votes",10,10
10,Rep,70800,District Attorney - Chattahoochee Judicial Circuit,51.765460587863174,"<b>Don Kelly (I) (Rep)</b><br>58,100 votes",53,53
11,Dem,70800,District Attorney - Chattahoochee Judicial Circuit,48.23453941213682,"<b>Anthony Johnson (Dem)</b><br>54,137 votes",53,53
12,Dem,,Muscogee County: Probate Judge,100.0,"<b>Marc D'Antonio (I) (Dem)</b><br>64,912 votes",25,25
13,Dem,,Muscogee County: Clerk of Superior Court,100.0,"<b>Danielle F. Forte (I) (Dem)</b><br>64,800 votes",25,25
14,Rep,,Muscogee County: Sheriff,33.37060946474864,"<b>Mark LaJoye (Rep)</b><br>26,260 votes",25,25
15,Dem,,Muscogee County: Sheriff,66.62939053525136,"<b>Greg Countryman, Sr (I) (Dem)</b><br>52,432 votes",25,25
16,Dem,,Muscogee County: Tax Commissioner,100.0,"<b>David Britt (Dem)</b><br>64,347 votes",25,25
17,Dem,,Muscogee County: Coroner,100.0,"<b>Buddy Bryan (I) (Dem)</b><br>67,904 votes",25,25
18,Dem,,Muscogee County: Municipal Court Clerk,100.0,"<b>Reginald Thompson (I) (Dem)</b><br>64,711 votes",25,25
19,Dem,,Muscogee County: Municipal Court Judge,100.0,"<b>Steven D. Smith (I) (Dem)</b><br>65,369 votes",25,25
20,Rep,,Muscogee County: Solicitor General,42.44229433107743,"<b>Suzanne Goddard (I) (Rep)</b><br>32,987 votes",25,25
21,Dem,,Muscogee County: Solicitor General,57.557705668922566,"<b>Shevon Sutcliffe Thomas (Dem)</b><br>44,735 votes",25,25
22,,,Muscogee County: Pine Mountain Soil and Water Conservation District Supervisor,100.0,"<b>Harvey Milner (I)</b><br>62,971 votes",25,25
