,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44200,State Senate - District 42,58.238443275452724,"<b>Brian Strickland (I) (Rep)</b><br>62,551 votes",40,40
1,Dem,44200,State Senate - District 42,41.76155672454727,"<b>Kacy D. Morgan (Dem)</b><br>44,854 votes",40,40
2,Dem,44300,State Senate - District 43,100.0,"<b>Tonya P. Anderson (I) (Dem)</b><br>80,092 votes",32,32
3,Dem,61300,State House of Representatives - District 113,100.0,"<b>Sharon Henderson (I) (Dem)</b><br>24,149 votes",9,9
4,Rep,61400,State House of Representatives - District 114,100.0,"<b>Tim Fleming (I) (Rep)</b><br>30,394 votes",14,14
5,Rep,61800,State House of Representatives - District 118,66.7787428784907,"<b>Clint Crowe (I) (Rep)</b><br>21,450 votes",13,13
6,Dem,61800,State House of Representatives - District 118,33.221257121509296,"<b>Sharonda Bell (Dem)</b><br>10,671 votes",13,13
7,Rep,70100,District Attorney - Alcovy Judicial Circuit,100.0,"<b>Randal Matthew McGinley (I) (Rep)</b><br>91,005 votes",38,38
8,Dem,,Newton County: Chairman of Commissioners,100.0,"<b>Marcello Banes (I) (Dem)</b><br>41,787 votes",19,19
9,Rep,,Newton County: Probate Judge,100.0,"<b>Melanie McCrorey Bell (I) (Rep)</b><br>41,679 votes",19,19
10,Dem,,Newton County: Clerk of the Superior Court,100.0,"<b>Stephanie Finnie (Dem)</b><br>44,989 votes",19,19
11,Rep,,Newton County: Sheriff,40.53881136414726,"<b>Justin Hipps (Rep)</b><br>23,444 votes",19,19
12,Dem,,Newton County: Sheriff,59.46118863585275,"<b>Ezell Brown (I) (Dem)</b><br>34,387 votes",19,19
13,Dem,,Newton County: Tax Commissioner,100.0,"<b>Brent Bennett (Dem)</b><br>44,767 votes",19,19
14,Rep,,Newton County: Coroner,46.75833607879177,"<b>Tommy Davis (I) (Rep)</b><br>26,966 votes",19,19
15,Dem,,Newton County: Coroner,53.241663921208236,"<b>Kimberly L. Griggs (Dem)</b><br>30,705 votes",19,19
16,Rep,,Newton County: County Commissioner - District 1,63.37777088823439,"<b>Stan Edwards, Jr. (I) (Rep)</b><br>8,177 votes",6,6
17,Dem,,Newton County: County Commissioner - District 1,36.62222911176562,"<b>Denise L. Williams (Dem)</b><br>4,725 votes",6,6
18,Dem,,Newton County: County Commissioner - District 3,100.0,"<b>Stephanie R. Lindsey (Dem)</b><br>9,461 votes",7,7
19,Rep,,Newton County: County Commissioner - District 5,58.891247550620506,"<b>LeAnne Long (Rep)</b><br>7,213 votes",7,7
20,Dem,,Newton County: County Commissioner - District 5,41.108752449379494,"<b>Tiijon DaCosta, Sr. (Dem)</b><br>5,035 votes",7,7
21,Dem,,Newton County: County BOE - District 2,100.0,"<b>Eddie Johnson (I) (Dem)</b><br>9,609 votes",4,4
22,Dem,,Newton County: County BOE - District 4,100.0,"<b>Anderson Bailey (I) (Dem)</b><br>8,055 votes",6,6
23,,,Newton County: Sunday Package Sales - Social Circle,50.0,<b>Yes</b><br>1 votes,1,1
24,,,Newton County: Sunday Package Sales - Social Circle,50.0,<b>No</b><br>1 votes,1,1
