,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44600,State Senate - District 46,63.66914981671987,"<b>Bill Cowsert (I) (Rep)</b><br>64,614 votes",42,42
1,Dem,44600,State Senate - District 46,36.33085018328012,"<b>Gareth Fenley (Dem)</b><br>36,870 votes",42,42
2,Rep,62000,State House of Representatives - District 120,61.29155521589607,"<b>Houston Gaines (I) (Rep)</b><br>19,248 votes",15,15
3,Dem,62000,State House of Representatives - District 120,38.70844478410393,"<b>Andrew Ferguson (Dem)</b><br>12,156 votes",15,15
4,Rep,62100,State House of Representatives - District 121,61.130184652500695,"<b>Marcus A. Wiedower (I) (Rep)</b><br>19,764 votes",16,16
5,Dem,62100,State House of Representatives - District 121,38.869815347499305,"<b>Eric Martin Gisler (Dem)</b><br>12,567 votes",16,16
6,Dem,73900,District Attorney - Western Judicial Circuit,40.58729677342792,"<b>Deborah Gonzalez (I) (Dem)</b><br>30,781 votes",32,32
7,Ind,73900,District Attorney - Western Judicial Circuit,59.412703226572084,"<b>Kalki Yalamanchili (Ind)</b><br>45,058 votes",32,32
8,Rep,,Oconee County: Clerk of Superior Court,79.00645209413344,"<b>Angela Elder-Johnson (I) (Rep)</b><br>21,184 votes",8,8
9,Dem,,Oconee County: Clerk of Superior Court,20.993547905866556,"<b>Laura L. King (Dem)</b><br>5,629 votes",8,8
10,Rep,,Oconee County: Sheriff,80.0566551394305,"<b>James A. Hale, Jr. (I) (Rep)</b><br>21,761 votes",8,8
11,Dem,,Oconee County: Sheriff,19.943344860569496,"<b>Reginald Wade (Dem)</b><br>5,421 votes",8,8
12,Rep,,Oconee County: Tax Commissioner,100.0,"<b>Jennifer T. Riddle (I) (Rep)</b><br>24,745 votes",8,8
13,Rep,,Oconee County: Coroner,100.0,"<b>Ed Carson (I) (Rep)</b><br>24,351 votes",8,8
14,Rep,,Oconee County: County Commission Chairman,100.0,"<b>John E. Daniell (I) (Rep)</b><br>23,969 votes",8,8
15,Rep,,Oconee County: County Commission - Post 1,77.34733830283864,"<b>Mark H. Thomas (I) (Rep)</b><br>20,545 votes",8,8
16,Dem,,Oconee County: County Commission - Post 1,22.652661697161356,"<b>Suzannah Heimel (Dem)</b><br>6,017 votes",8,8
17,Rep,,Oconee County: County Commission - Post 4,100.0,"<b>Mark T. Saxon (I) (Rep)</b><br>23,865 votes",8,8
18,Rep,,Oconee County: County BOE Chairman - Post 1,100.0,"<b>Michael D. Ransom (Rep)</b><br>23,837 votes",8,8
19,Rep,,Oconee County: County BOE - Post 4,76.46815705429269,"<b>Adam Hammond (Rep)</b><br>20,352 votes",8,8
20,Dem,,Oconee County: County BOE - Post 4,23.531842945707307,"<b>Sheri Ward Long (Dem)</b><br>6,263 votes",8,8
21,Rep,,Oconee County: County BOE - Post 5,72.65005029618867,"<b>Brock Toole (Rep)</b><br>19,500 votes",8,8
22,Dem,,Oconee County: County BOE - Post 5,27.349949703811333,"<b>Katie Green (Dem)</b><br>7,341 votes",8,8
23,,,Oconee County: Reconstitution of Board of Education,65.54029992482096,"<b>Yes</b><br>16,564 votes",8,8
24,,,Oconee County: Reconstitution of Board of Education,34.45970007517904,"<b>No</b><br>8,709 votes",8,8
