,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
1,Rep,62400,State House of Representatives - District 124,65.74263120057513,"<b>Trey Rhodes (I) (Rep)</b><br>22,862 votes",18,18
2,Dem,62400,State House of Representatives - District 124,34.257368799424874,"<b>Melanie M. Miller (Dem)</b><br>11,913 votes",18,18
3,Rep,72500,District Attorney - Northern Judicial Circuit,100.0,"<b>D. Parks White (I) (Rep)</b><br>52,469 votes",40,40
4,Rep,,Oglethorpe County: Clerk of Superior Court,100.0,"<b>Kelli Paradise Smith (I) (Rep)</b><br>7,545 votes",3,3
5,Rep,,Oglethorpe County: Sheriff,100.0,"<b>David R. Gabriel (I) (Rep)</b><br>7,055 votes",3,3
6,Rep,,Oglethorpe County: Tax Commissioner,100.0,"<b>Dawn Johnson Scarborough (Rep)</b><br>7,392 votes",3,3
7,Rep,,Oglethorpe County: Coroner,100.0,"<b>Jason M. Lewis (I) (Rep)</b><br>7,422 votes",3,3
8,Rep,,Oglethorpe County: County Commission Chairman,68.17176771790993,"<b>Jay Paul (I) (Rep)</b><br>5,858 votes",3,3
9,Dem,,Oglethorpe County: County Commission Chairman,31.828232282090074,"<b>Patrick Kim Bonds (Dem)</b><br>2,735 votes",3,3
10,Rep,,Oglethorpe County: County Commission - District 2,73.76957494407159,"<b>Andy Saxon (I) (Rep)</b><br>1,319 votes",1,1
11,Dem,,Oglethorpe County: County Commission - District 2,26.230425055928414,<b>Jacqueline D. Bosby (Dem)</b><br>469 votes,1,1
12,Rep,,Oglethorpe County: County Commission - District 4,100.0,"<b>William C. Brown (I) (Rep)</b><br>1,458 votes",1,1
13,Rep,,Oglethorpe County: County BOE - District 1,100.0,"<b>Guillermo Camacho (I) (Rep)</b><br>1,276 votes",2,2
14,Rep,,Oglethorpe County: County BOE - District 2,100.0,"<b>Tim Poole (I) (Rep)</b><br>1,501 votes",1,1
15,Rep,,Oglethorpe County: County BOE - District 4,100.0,"<b>Jake Willcox (I) (Rep)</b><br>1,461 votes",1,1
