,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,43000,State Senate - District 30,65.04763376074978,"<b>Timothy J. Bearden (I) (Rep)</b><br>63,158 votes",43,43
1,Dem,43000,State Senate - District 30,34.952366239250225,"<b>Wanda Cooper (Dem)</b><br>33,937 votes",43,43
2,Rep,43100,State Senate - District 31,100.0,"<b>Jason Anavitarte (I) (Rep)</b><br>81,415 votes",28,28
3,Rep,51600,State House of Representatives - District 16,100.0,"<b>Trey Kelley (I) (Rep)</b><br>25,296 votes",14,14
4,Rep,51700,State House of Representatives - District 17,100.0,"<b>Martin Momtahan (I) (Rep)</b><br>25,364 votes",11,11
5,Rep,51800,State House of Representatives - District 18,100.0,"<b>Tyler Paul Smith (I) (Rep)</b><br>30,101 votes",21,21
6,Rep,51900,State House of Representatives - District 19,57.31319786595142,"<b>Joseph Gullett (I) (Rep)</b><br>19,659 votes",12,12
7,Dem,51900,State House of Representatives - District 19,42.68680213404857,"<b>R.J. Coyle (Dem)</b><br>14,642 votes",12,12
8,Rep,54000,State House of Representatives - District 40,59.349542352090076,"<b>Kimberly R. New (I) (Rep)</b><br>18,869 votes",9,9
9,Dem,54000,State House of Representatives - District 40,40.65045764790992,"<b>Montenia Edwards (Dem)</b><br>12,924 votes",9,9
10,Rep,,Paulding County: Probate Court Judge,100.0,"<b>Angela Woodall (I) (Rep)</b><br>74,094 votes",21,21
11,Rep,,Paulding County: Clerk of Superior Court,100.0,"<b>Sheila Butler (I) (Rep)</b><br>74,541 votes",21,21
12,Rep,,Paulding County: Sheriff,100.0,"<b>Ashley Henson (Rep)</b><br>74,911 votes",21,21
13,Rep,,Paulding County: Tax Commissioner,100.0,"<b>Kayla Amos (I) (Rep)</b><br>74,490 votes",21,21
14,Rep,,Paulding County: Coroner,100.0,"<b>Lindsey Eberhart (I) (Rep)</b><br>74,407 votes",21,21
15,Rep,,Paulding County: Surveyor,100.0,"<b>W. Carlton Rakestraw (I) (Rep)</b><br>74,137 votes",21,21
16,Rep,,Paulding County: Chief Magistrate Judge,100.0,"<b>Martin E. Valbuena (I) (Rep)</b><br>73,897 votes",21,21
17,Rep,,Paulding County: Commission Chair,64.25379029727185,"<b>Tim Estes (Rep)</b><br>59,375 votes",21,21
18,Dem,,Paulding County: Commission Chair,35.74620970272815,"<b>Onassis Mendonca (Dem)</b><br>33,032 votes",21,21
19,Rep,,Paulding County: County Commission - District 1,100.0,"<b>Keith Dunn (I) (Rep)</b><br>18,852 votes",7,7
20,Rep,,Paulding County: County BOE - District 1,100.0,"<b>Theresa Lyons (I) (Rep)</b><br>73,750 votes",21,21
21,Rep,,Paulding County: County BOE - District 3,63.281843229991544,"<b>Adam Clayton (I) (Rep)</b><br>58,337 votes",21,21
22,Dem,,Paulding County: County BOE - District 3,36.718156770008456,"<b>Antoinette Richards (Dem)</b><br>33,849 votes",21,21
23,Rep,,Paulding County: County BOE - District 4,100.0,"<b>Deborah Collett (I) (Rep)</b><br>73,839 votes",21,21
24,Rep,,Paulding County: County BOE At Large,62.80308596620132,"<b>Jeff Fuller (I) (Rep)</b><br>58,123 votes",21,21
25,Dem,,Paulding County: County BOE At Large,37.19691403379868,"<b>Sasha Johnson (Dem)</b><br>34,425 votes",21,21
