,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
1,Rep,51100,State House of Representatives - District 11,82.78017241379311,"<b>Rick Jasperse (I) (Rep)</b><br>30,728 votes",17,17
2,Dem,51100,State House of Representatives - District 11,17.219827586206897,"<b>Kayla L. Hollifield (Dem)</b><br>6,392 votes",17,17
3,Rep,70200,District Attorney - Appalachian Judicial Circuit,100.0,"<b>Frank Wood (I) (Rep)</b><br>48,374 votes",37,37
4,Rep,,Pickens County: Probate Judge,100.0,"<b>David W. Lindsey (I) (Rep)</b><br>18,555 votes",12,12
5,Rep,,Pickens County: Clerk of Superior Court,100.0,"<b>Jennifer Edwards Jordan (I) (Rep)</b><br>18,514 votes",12,12
6,Rep,,Pickens County: Sheriff,100.0,"<b>Donald E. Craig (I) (Rep)</b><br>18,415 votes",12,12
7,Rep,,Pickens County: Tax Commissioner,100.0,"<b>Daniel Reeves (I) (Rep)</b><br>18,390 votes",12,12
8,Rep,,Pickens County: Coroner,100.0,"<b>Erin R. Lohr (Rep)</b><br>18,352 votes",12,12
9,Rep,,Pickens County: Magistrate Judge,100.0,"<b>Alan Morris (I) (Rep)</b><br>18,440 votes",12,12
10,Rep,,Pickens County: County Commission Chair,100.0,"<b>Kristopher ""Kris"" Stancill (I) (Rep)</b><br>18,221 votes",12,12
11,Rep,,Pickens County: County Commission - District 2,100.0,"<b>Josh Tatum (I) (Rep)</b><br>8,931 votes",8,8
12,Rep,,Pickens County: County BOE - Post 1,100.0,"<b>Tommy H. Gartrell (I) (Rep)</b><br>18,153 votes",12,12
13,Rep,,Pickens County: County BOE - Post 4,100.0,"<b>Sue Finley (I) (Rep)</b><br>17,805 votes",12,12
14,,,Pickens County: TSPLOST,49.91014376996805,"<b>Yes</b><br>9,998 votes",12,12
15,,,Pickens County: TSPLOST,50.08985623003195,"<b>No</b><br>10,034 votes",12,12
