,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
1,Rep,67800,State House of Representatives - District 178,100.0,"<b>Steven Meeks (I) (Rep)</b><br>24,660 votes",25,25
2,Rep,,Pierce County: Clerk of Superior Court,100.0,"<b>Melissa Howard (Rep)</b><br>8,930 votes",8,8
3,Rep,,Pierce County: Sheriff,100.0,"<b>Ramsey Bennett (I) (Rep)</b><br>8,325 votes",8,8
4,Rep,,Pierce County: Tax Commissioner,100.0,"<b>Nicole Scurry (Rep)</b><br>8,879 votes",8,8
5,Rep,,Pierce County: Surveyor,100.0,"<b>Stephen Duncan (I) (Rep)</b><br>8,861 votes",8,8
6,Rep,,Pierce County: Coroner,100.0,"<b>William Wilson, Jr. (I) (Rep)</b><br>8,892 votes",8,8
7,Rep,,Pierce County: County Commission - District 1,100.0,"<b>Troy Mattox (Rep)</b><br>2,115 votes",1,1
8,Rep,,Pierce County: County Commission - District 3,100.0,"<b>Randy Dixon (I) (Rep)</b><br>2,167 votes",2,2
9,,,Pierce County: Soil and Water Conservation District - Satilla River District,100.0,"<b>Jim Waters (I)</b><br>8,700 votes",8,8
