,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41600,State Senate - District 16,65.77130824864965,"<b>Marty Harbin (I) (Rep)</b><br>71,842 votes",54,54
1,Dem,41600,State Senate - District 16,34.22869175135036,"<b>Amili Blake (Dem)</b><br>37,388 votes",54,54
2,Rep,63500,State House of Representatives - District 135,100.0,"<b>Beth Camp (I) (Rep)</b><br>28,632 votes",21,21
3,Rep,71800,District Attorney - Griffin Judicial Circuit,100.0,"<b>Marie Greene Broder (I) (Rep)</b><br>104,053 votes",65,65
4,Rep,,Pike County: Clerk of Superior Court,100.0,"<b>Rebekah Hanson (Rep)</b><br>11,410 votes",8,8
5,Rep,,Pike County: Sheriff,77.7939393939394,"<b>Jimmy Thomas (I) (Rep)</b><br>9,627 votes",8,8
6,Ind,,Pike County: Sheriff,22.206060606060607,"<b>Jamal Willis (Ind)</b><br>2,748 votes",8,8
7,Rep,,Pike County: Tax Commissioner,100.0,"<b>Donna Minter Chapman (I) (Rep)</b><br>11,623 votes",8,8
8,Rep,,Pike County: Coroner,100.0,"<b>Terrell Moody (I) (Rep)</b><br>11,642 votes",8,8
9,Rep,,Pike County: Commission Chair,100.0,"<b>J. Briar Johnson (I) (Rep)</b><br>11,361 votes",8,8
10,Rep,,Pike County: County Commission 3,100.0,"<b>Ken Pullin (Rep)</b><br>2,932 votes",4,4
11,Rep,,Pike County: County Commission 4,100.0,"<b>James Jenkins (I) (Rep)</b><br>3,020 votes",4,4
