,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,43100,State Senate - District 31,100.0,"<b>Jason Anavitarte (I) (Rep)</b><br>81,415 votes",28,28
1,Rep,51600,State House of Representatives - District 16,100.0,"<b>Trey Kelley (I) (Rep)</b><br>25,296 votes",14,14
2,Rep,73500,District Attorney - Tallapoosa Judicial Circuit,100.0,"<b>Jaeson Robert Smith (Rep)</b><br>31,548 votes",19,19
3,Rep,,Polk County: Probate Court,100.0,"<b>Robert ""Bobby"" Brooks (I) (Rep)</b><br>16,721 votes",7,7
4,Rep,,Polk County: Clerk of Superior Court,100.0,"<b>Stacie M. Baines (I) (Rep)</b><br>16,731 votes",7,7
5,Rep,,Polk County: Sheriff,100.0,"<b>Johnny Moats (I) (Rep)</b><br>16,965 votes",7,7
6,Rep,,Polk County: Tax Commissioner,100.0,"<b>Amanda B. Lindsey (I) (Rep)</b><br>16,733 votes",7,7
7,Rep,,Polk County: Surveyor,100.0,"<b>Robert Larry Cannon (Rep)</b><br>16,550 votes",7,7
8,Rep,,Polk County: Coroner,100.0,"<b>Norman Smith (I) (Rep)</b><br>16,912 votes",7,7
9,Rep,,Polk County: Magistrate Judge,100.0,"<b>Christy Cook Garner (Rep)</b><br>16,629 votes",7,7
10,Rep,,Polk County: County Commission - District 1,100.0,"<b>Michael Gravett (Rep)</b><br>16,548 votes",7,7
11,Rep,,Polk County: County Commission - District 2,100.0,"<b>Charles “Chuck” Thaxton (I) (Rep)</b><br>16,493 votes",7,7
12,Rep,,Polk County: County Commission - District 3,100.0,"<b>John Paschal (Rep)</b><br>16,505 votes",7,7
13,Rep,,Polk County: County BOE 3,100.0,"<b>Rita Carter (Rep)</b><br>2,487 votes",2,2
14,Rep,,Polk County: County BOE 5,100.0,"<b>Jeff Hawkins (Rep)</b><br>3,159 votes",3,3
15,Rep,,Polk County: County BOE 6,100.0,"<b>Paul “Drew” Williams, Jr. (Rep)</b><br>2,335 votes",1,1
