,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
1,Rep,64800,State House of Representatives - District 148,100.0,"<b>Noel W. Williams, Jr. (I) (Rep)</b><br>22,686 votes",17,17
2,Rep,72700,District Attorney - Oconee Judicial Circuit,100.0,"<b>Timothy G. Vaughn (I) (Rep)</b><br>23,986 votes",29,29
3,Rep,,Pulaski County: Clerk of Superior Court,100.0,"<b>Michael King (I) (Rep)</b><br>3,566 votes",1,1
4,Rep,,Pulaski County: Sheriff,100.0,"<b>Wayne Wiley (Rep)</b><br>3,579 votes",1,1
5,Rep,,Pulaski County: Sole Commissioner,100.0,"<b>Jenna S. Mashburn (I) (Rep)</b><br>3,466 votes",1,1
6,Rep,,Pulaski County: Tax Commissioner,100.0,"<b>Eric M. Vickers (I) (Rep)</b><br>3,641 votes",1,1
7,Rep,,Pulaski County: County Surveyor,100.0,"<b>Olin J. McLeod (I) (Rep)</b><br>3,503 votes",1,1
8,Rep,,Pulaski County: Coroner,100.0,"<b>Fred J. Clark, III. (I) (Rep)</b><br>3,608 votes",1,1
9,,,Pulaski County: Ocmulgee River Soil and Water District Supervisor,100.0,"<b>David Bishop (I)</b><br>3,472 votes",1,1
10,,,Pulaski County: (S) TSPLOST Referendum,59.00147565174618,"<b>Yes</b><br>2,399 votes",1,1
11,,,Pulaski County: (S) TSPLOST Referendum,40.99852434825381,"<b>No</b><br>1,667 votes",1,1
