,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42500,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
1,Rep,62400,State House of Representatives - District 124,65.74263120057513,"<b>Trey Rhodes (I) (Rep)</b><br>22,862 votes",18,18
2,Dem,62400,State House of Representatives - District 124,34.257368799424874,"<b>Melanie M. Miller (Dem)</b><br>11,913 votes",18,18
3,Rep,64400,State House of Representatives - District 144,74.45623497684235,"<b>Dale Washburn (I) (Rep)</b><br>25,400 votes",19,19
4,Dem,64400,State House of Representatives - District 144,25.54376502315765,"<b>Anita Hyland (Dem)</b><br>8,714 votes",19,19
5,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
6,Rep,,Putnam County: Clerk of Superior Court,100.0,"<b>Trevor J. Addison (I) (Rep)</b><br>11,029 votes",5,5
7,Rep,,Putnam County: Sheriff,100.0,"<b>Howard R. Sills (I) (Rep)</b><br>11,209 votes",5,5
8,Rep,,Putnam County: Coroner,100.0,"<b>Hollis Harrison (I) (Rep)</b><br>11,125 votes",5,5
9,Rep,,Putnam County: Tax Commissioner,100.0,"<b>Terrell Abernathy (I) (Rep)</b><br>10,966 votes",5,5
10,Rep,,Putnam County: County Commissioner - District 2,49.55957348168753,"<b>Daniel W. Brown (I) (Rep)</b><br>1,069 votes",2,2
11,Dem,,Putnam County: County Commissioner - District 2,50.44042651831248,"<b>Richard Garrett (Dem)</b><br>1,088 votes",2,2
12,Rep,,Putnam County: County BOE - District 3,100.0,"<b>Steven A. Weiner (I) (Rep)</b><br>2,903 votes",2,2
13,Rep,,Putnam County: County BOE - District 4,100.0,"<b>Charles Trumbo (Rep)</b><br>2,525 votes",1,1
14,Rep,,Putnam County: County BOE - District 5,100.0,"<b>Carol Ann Guthrie (I) (Rep)</b><br>2,740 votes",4,4
15,,,Putnam County: (S) Putnam Ad Valorem,75.12474437627812,"<b>Yes</b><br>9,184 votes",5,5
16,,,Putnam County: (S) Putnam Ad Valorem,24.87525562372188,"<b>No</b><br>3,041 votes",5,5
17,,,Putnam County: (S) SPLOST and Bond Election,46.880907372400756,"<b>Yes</b><br>5,704 votes",5,5
18,,,Putnam County: (S) SPLOST and Bond Election,53.119092627599244,"<b>No</b><br>6,463 votes",5,5
19,,,Putnam County: (S) Continuation ESPLOST,50.748833783452,"<b>Yes</b><br>6,201 votes",5,5
20,,,Putnam County: (S) Continuation ESPLOST,49.251166216548,"<b>No</b><br>6,018 votes",5,5
21,Rep,,Putnam County: (S) County Commissioner - District 1,66.6289592760181,"<b>Tom McElhenney (Rep)</b><br>1,767 votes",3,3
22,Rep,,Putnam County: (S) County Commissioner - District 1,33.3710407239819,<b>Jerry Swafford (Rep)</b><br>885 votes,3,3
