,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,51000,State House of Representatives - District 10,82.93582099121626,"<b>Victor Anderson (I) (Rep)</b><br>25,871 votes",6,6
3,Dem,51000,State House of Representatives - District 10,17.06417900878374,"<b>Paulette Williams (Dem)</b><br>5,323 votes",6,6
4,Rep,72400,District Attorney - Mountain Judicial Circuit,100.0,"<b>George R. Christian (I) (Rep)</b><br>41,074 votes",8,8
5,Rep,,Rabun County: Clerk of Superior Court,100.0,"<b>Holly E. Henry-Perry (I) (Rep)</b><br>9,487 votes",1,1
6,Rep,,Rabun County: Sheriff,100.0,"<b>Mark Anthony Gerrells (Rep)</b><br>9,104 votes",1,1
7,Rep,,Rabun County: Tax Commissioner,100.0,"<b>Lauren N. Benfield (I) (Rep)</b><br>9,392 votes",1,1
8,Rep,,Rabun County: Surveyor,100.0,"<b>Jonathan Rolader (I) (Rep)</b><br>9,254 votes",1,1
9,Rep,,Rabun County: Coroner,100.0,"<b>Sam Beck (I) (Rep)</b><br>9,400 votes",1,1
10,Rep,,Rabun County: County Commission - Post 1,79.672228255504,"<b>Will H. Nichols (I) (Rep)</b><br>8,070 votes",1,1
11,Dem,,Rabun County: County Commission - Post 1,20.327771744496,"<b>Maria Loveless (Dem)</b><br>2,059 votes",1,1
12,Rep,,Rabun County: County Commission - Post 2,100.0,"<b>Tom Garrison (I) (Rep)</b><br>9,079 votes",1,1
13,Rep,,Rabun County: County Commission - Post 3,100.0,"<b>Greg James (I) (Rep)</b><br>9,084 votes",1,1
14,Rep,,Rabun County: County BOE - Post 2,100.0,"<b>Allyn Stockton (I) (Rep)</b><br>9,044 votes",1,1
15,Rep,,Rabun County: County BOE - Post 4,100.0,"<b>Steven Cabe (I) (Rep)</b><br>8,994 votes",1,1
16,,,Rabun County: Blue Ridge Soil and Water,100.0,"<b>Wayne Swanson</b><br>8,129 votes",1,1
17,,,Rabun County: SPLOST,62.90047202972783,"<b>Yes</b><br>6,263 votes",1,1
18,,,Rabun County: SPLOST,37.09952797027217,"<b>No</b><br>3,694 votes",1,1
19,,,Rabun County: Sunday Sales by the Drink,60.9297725024728,<b>Yes</b><br>616 votes,1,1
20,,,Rabun County: Sunday Sales by the Drink,39.0702274975272,<b>No</b><br>395 votes,1,1
21,,,Rabun County: Sunday Package Sales,61.10562685093781,<b>Yes</b><br>619 votes,1,1
22,,,Rabun County: Sunday Package Sales,38.89437314906219,<b>No</b><br>394 votes,1,1
