,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42200,State Senate - District 22,100.0,"<b>Harold V. Jones, III (I) (Dem)</b><br>63,914 votes",60,60
1,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
2,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
3,Rep,62600,State House of Representatives - District 126,42.076482265253375,"<b>William C. Harris (Rep)</b><br>11,234 votes",29,29
4,Dem,62600,State House of Representatives - District 126,57.923517734746625,"<b>L.C. Myles, Jr. (Dem)</b><br>15,465 votes",29,29
5,Rep,62700,State House of Representatives - District 127,100.0,"<b>Mark Newton (I) (Rep)</b><br>25,538 votes",22,22
6,Dem,62900,State House of Representatives - District 129,100.0,"<b>Karlton L. Howard (I) (Dem)</b><br>17,008 votes",23,23
7,Dem,63000,State House of Representatives - District 130,100.0,"<b>Lynn Gladney (I) (Dem)</b><br>18,775 votes",16,16
8,Dem,63200,State House of Representatives - District 132,100.0,"<b>Brian L. Prince (I) (Dem)</b><br>19,198 votes",20,20
9,Dem,70400,District Attorney - Augusta Judicial Circuit,100.0,"<b>Jared T. Williams (I) (Dem)</b><br>76,263 votes",84,84
10,Dem,,Richmond County: Probate Court Judge,100.0,"<b>Stacy Johnson (Dem)</b><br>68,895 votes",68,68
11,Dem,,Richmond County: Clerk of Superior Court,100.0,"<b>Hattie Holmes Sullivan (I) (Dem)</b><br>68,333 votes",68,68
12,Dem,,Richmond County: Sheriff,100.0,"<b>Eugene ""Gino Rock"" Brantley (Dem)</b><br>70,863 votes",68,68
13,Dem,,Richmond County: Tax Commissioner,100.0,"<b>T. Chris Johnson (I) (Dem)</b><br>70,115 votes",68,68
14,Dem,,Richmond County: Coroner,100.0,"<b>Mark Bowen (I) (Dem)</b><br>70,167 votes",68,68
15,Dem,,"Richmond County: Presiding Judge, Civil and Magistrate Court",100.0,"<b>Le'Joi N. Williamson (I) (Dem)</b><br>67,931 votes",68,68
16,Dem,,Richmond County: Solicitor General of the State Court,100.0,"<b>Omeeka P. Loggins (I) (Dem)</b><br>67,980 votes",68,68
17,,,Richmond County: School Board District 1,100.0,"<b>Shawnda Stovall (I)</b><br>7,094 votes",13,13
18,,,Richmond County: School Board District 4,72.20052083333334,"<b>Shontae E. Boyd</b><br>6,654 votes",5,5
19,,,Richmond County: School Board District 4,27.799479166666668,"<b>Reginald B. Forrest</b><br>2,562 votes",5,5
20,,,Richmond County: School Board District 5,50.7410374524334,"<b>Monique Braswell</b><br>5,067 votes",7,7
21,,,Richmond County: School Board District 5,29.65151211696375,"<b>A. K. Hasan</b><br>2,961 votes",7,7
22,,,Richmond County: School Board District 5,19.607450430602842,"<b>Christopher Mulliens</b><br>1,958 votes",7,7
23,,,Richmond County: School Board District 8,83.13770697966883,"<b>Mary Jane Abbott</b><br>7,933 votes",12,12
24,,,Richmond County: School Board District 8,16.86229302033117,"<b>Onnie Poe</b><br>1,609 votes",12,12
25,,,Richmond County: School Board District 10,40.78881546036176,"<b>Lee Blitch</b><br>15,492 votes",36,36
26,,,Richmond County: School Board District 10,59.21118453963824,"<b>Samantha Valentine</b><br>22,489 votes",36,36
27,,,Richmond County: Special 1 percent Sales and Use Tax for Educational Purposes,65.45747276798069,"<b>Yes</b><br>52,040 votes",68,68
28,,,Richmond County: Special 1 percent Sales and Use Tax for Educational Purposes,34.542527232019324,"<b>No</b><br>27,462 votes",68,68
