,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,44300,State Senate - District 43,100.0,"<b>Tonya P. Anderson (I) (Dem)</b><br>80,092 votes",32,32
1,Dem,59100,State House of Representatives - District 91,100.0,"<b>Angela Moore (I) (Dem)</b><br>25,823 votes",14,14
2,Dem,59200,State House of Representatives - District 92,100.0,"<b>Rhonda S. Taylor (I) (Dem)</b><br>24,823 votes",10,10
3,Dem,59300,State House of Representatives - District 93,100.0,"<b>Doreen Carter (I) (Dem)</b><br>23,317 votes",13,13
4,Dem,,Rockdale County: Judge of the Probate Court,100.0,"<b>Gary W. Washington (I) (Dem)</b><br>37,967 votes",16,16
5,Dem,,Rockdale County: Clerk of Superior Court,100.0,"<b>Janice Morris (I) (Dem)</b><br>38,170 votes",16,16
6,Dem,,Rockdale County: Sheriff,100.0,"<b>Eric J. Levett (I) (Dem)</b><br>38,603 votes",16,16
7,Dem,,Rockdale County: Tax Commissioner,100.0,"<b>Tisa Smart-Washington (I) (Dem)</b><br>38,114 votes",16,16
8,Dem,,Rockdale County: Coroner,100.0,"<b>George Levett, Jr. (I) (Dem)</b><br>38,366 votes",16,16
9,Dem,,Rockdale County: Chief Magistrate,100.0,"<b>Phinia Aten (I) (Dem)</b><br>37,519 votes",16,16
10,Dem,,Rockdale County: County Commission Chairman,100.0,"<b>JaNice Frey VanNess (Dem)</b><br>38,518 votes",16,16
11,Dem,,Rockdale County: County Commission - Post 1,100.0,"<b>Tuwanya Smith (Dem)</b><br>38,164 votes",16,16
