,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41500,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
1,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
2,Ind,73300,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
3,Rep,,Schley County: Probate Judge,100.0,"<b>Kevin Devane (Rep)</b><br>2,159 votes",1,1
4,Rep,,Schley County: Clerk of Superior Court,100.0,"<b>Kimi Bennett McKinney (I) (Rep)</b><br>2,160 votes",1,1
5,Rep,,Schley County: Sheriff,100.0,"<b>Scott Nelson (Rep)</b><br>2,203 votes",1,1
6,Rep,,Schley County: Tax Commissioner,100.0,"<b>Jessica Ellis Smith (I) (Rep)</b><br>2,198 votes",1,1
7,Rep,,Schley County: Coroner,100.0,"<b>David Byrd (I) (Rep)</b><br>2,169 votes",1,1
8,Rep,,Schley County: County Commission 2,100.0,<b>Brian Belcher (I) (Rep)</b><br>470 votes,1,1
9,Rep,,Schley County: County Commission 3,100.0,<b>Greg Barineau (Rep)</b><br>556 votes,1,1
10,Rep,,Schley County: County Commission - At Large,100.0,"<b>Jack Clark (Rep)</b><br>2,058 votes",1,1
11,Dem,,Schley County: County BOE 2,100.0,"<b>Clifton Aldridge, Sr. (I) (Dem)</b><br>414 votes",1,1
12,Rep,,Schley County: County BOE 3,100.0,<b>LeAndra R. Lumpkin (I) (Rep)</b><br>573 votes,1,1
13,Rep,,Schley County: County BOE - At Large,100.0,"<b>Jim Sellars (I) (Rep)</b><br>2,146 votes",1,1
14,,,Schley County: SPLOST,62.335958005249346,"<b>Yes</b><br>1,425 votes",1,1
15,,,Schley County: SPLOST,37.664041994750654,<b>No</b><br>861 votes,1,1
