,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,65900,State House of Representatives - District 159,100.0,"<b>Jon G. Burns (I) (Rep)</b><br>26,319 votes",22,22
3,Rep,72800,District Attorney - Ogeechee Judicial Circuit,100.0,"<b>Robert Busbee (Rep)</b><br>65,604 votes",48,48
4,Dem,,Screven County: Clerk of Superior Court,100.0,"<b>Mandy Brannen Howard (I) (Dem)</b><br>5,564 votes",7,7
5,Rep,,Screven County: Sheriff,66.6812865497076,"<b>Norman Royal (Rep)</b><br>4,561 votes",7,7
6,Dem,,Screven County: Sheriff,33.3187134502924,"<b>Mike Kile (I) (Dem)</b><br>2,279 votes",7,7
7,Dem,,Screven County: Tax Commissioner,100.0,"<b>Andrea Cullimore Waits (I) (Dem)</b><br>5,682 votes",7,7
8,Rep,,Screven County: Coroner,100.0,"<b>Ramona Stewart (I) (Rep)</b><br>5,642 votes",7,7
9,Dem,,Screven County: State Court Solicitor,100.0,"<b>Robert M. Mock, Jr. (Dem)</b><br>5,434 votes",7,7
10,Rep,,Screven County: County Commission - District 2,39.41411451398136,<b>Kevin C. Hagan (Rep)</b><br>296 votes,1,1
11,Dem,,Screven County: County Commission - District 2,60.58588548601864,<b>Rosa W. Romeo (I) (Dem)</b><br>455 votes,1,1
12,Rep,,Screven County: County Commission - District 3,100.0,<b>Mike Dixon (I) (Rep)</b><br>952 votes,1,1
13,Rep,,Screven County: County Commission - District 5,47.22222222222222,<b>Alan L. Stewart (Rep)</b><br>459 votes,1,1
14,Dem,,Screven County: County Commission - District 5,52.77777777777778,<b>J.C. Warren (I) (Dem)</b><br>513 votes,1,1
15,Rep,,Screven County: County Commission - District 6,59.66697502312673,<b>Justin Smith (Rep)</b><br>645 votes,1,1
16,Dem,,Screven County: County Commission - District 6,12.303422756706754,<b>Clint Flinch (Dem)</b><br>133 votes,1,1
17,Ind,,Screven County: County Commission - District 6,28.02960222016651,<b>Allison P. Willis (I)(Ind)</b><br>303 votes,1,1
18,,,Screven County: Soil and Water District Supervisor - Ogeechee River,100.0,"<b>Harold ""Buddy"" Parker, Jr. (I)</b><br>5,501 votes",7,7
19,,,Screven County: Sales and Use Tax Election,59.10342717258262,"<b>Yes</b><br>3,863 votes",7,7
20,,,Screven County: Sales and Use Tax Election,40.89657282741738,"<b>No</b><br>2,673 votes",7,7
