,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,65400,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
2,Rep,,Seminole County: Clerk of Superior Court,100.0,"<b>Earlene M. Bramlett (I) (Rep)</b><br>3,478 votes",5,5
3,Rep,,Seminole County: Sheriff,80.21894093686355,"<b>Heath Elliot (I) (Rep)</b><br>3,151 votes",5,5
4,Dem,,Seminole County: Sheriff,19.781059063136457,<b>Kevin Long (Dem)</b><br>777 votes,5,5
5,Rep,,Seminole County: Tax Commissioner,100.0,"<b>Leslie Johnson (I) (Rep)</b><br>3,560 votes",5,5
6,Rep,,Seminole County: Coroner,100.0,"<b>Chad Smith (I) (Rep)</b><br>3,471 votes",5,5
7,Rep,,Seminole County: County Commission - District 1,100.0,<b>Mark Spooner (I) (Rep)</b><br>795 votes,1,1
8,Dem,,Seminole County: County Commission - District 3,100.0,<b>Brenda Peterson (I) (Dem)</b><br>517 votes,1,1
9,Rep,,Seminole County: County Commission - District 5,100.0,<b>Darius Culverson (I) (Rep)</b><br>818 votes,1,1
10,Dem,,Seminole County: County Board of Education District 2,100.0,<b>Charles Walker (I) (Dem)</b><br>654 votes,1,1
11,Rep,,Seminole County: County Board of Education District 4,100.0,<b>Michael Kirkland (I) (Rep)</b><br>699 votes,1,1
12,,,Seminole County: County Board of Education - District 5 (Special),100.0,<b>Eddie D. Alday</b><br>817 votes,1,1
