,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41600,State Senate - District 16,65.77130824864965,"<b>Marty Harbin (I) (Rep)</b><br>71,842 votes",54,54
1,Dem,41600,State Senate - District 16,34.22869175135036,"<b>Amili Blake (Dem)</b><br>37,388 votes",54,54
2,Rep,58200,State House of Representatives - District 82,62.948852557372135,"<b>Karen I. Mathiak (I) (Rep)</b><br>20,984 votes",18,18
3,Dem,58200,State House of Representatives - District 82,37.051147442627865,"<b>Anthony Dickson (Dem)</b><br>12,351 votes",18,18
4,Rep,63500,State House of Representatives - District 135,100.0,"<b>Beth Camp (I) (Rep)</b><br>28,632 votes",21,21
5,Rep,71800,District Attorney - Griffin Judicial Circuit,100.0,"<b>Marie Greene Broder (I) (Rep)</b><br>104,053 votes",65,65
6,Rep,,Spalding County: Clerk of Superior Court,100.0,"<b>Debbie L. Brooks (I) (Rep)</b><br>26,032 votes",17,17
7,Rep,,Spalding County: Sheriff,100.0,"<b>James ""Darrell"" Dix (I) (Rep)</b><br>26,846 votes",17,17
8,Rep,,Spalding County: Tax Commissioner,100.0,"<b>Sylvia W. Hollums (I) (Rep)</b><br>26,580 votes",17,17
9,Rep,,Spalding County: Coroner,100.0,"<b>Michael Pryor (I) (Rep)</b><br>26,404 votes",17,17
10,Dem,,Spalding County: County Commissioner 1,100.0,"<b>Gwen Flowers-Taylor (I) (Dem)</b><br>3,744 votes",6,6
11,Rep,,Spalding County: County Commissioner 3,41.41736145169201,"<b>Ricky ""Rick"" Taylor (Rep)</b><br>1,689 votes",5,5
12,Dem,,Spalding County: County Commissioner 3,58.582638548308,"<b>Reginald Bernard Watts (Dem)</b><br>2,389 votes",5,5
13,Rep,,Spalding County: County Commissioner 4,70.08174386920982,"<b>Ryan Bowlden (I) (Rep)</b><br>5,144 votes",5,5
14,Dem,,Spalding County: County Commissioner 4,29.918256130790187,"<b>Zachery Fuller (Dem)</b><br>2,196 votes",5,5
