,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,53200,State House of Representatives - District 32,100.0,"<b>Chris Erwin (I) (Rep)</b><br>27,370 votes",17,17
3,Rep,72400,District Attorney - Mountain Judicial Circuit,100.0,"<b>George R. Christian (I) (Rep)</b><br>41,074 votes",8,8
4,Rep,,Stephens County: Clerk of Superior Court,100.0,"<b>Tim Quick (I) (Rep)</b><br>11,825 votes",1,1
5,Rep,,Stephens County: Sheriff,100.0,"<b>Rusty Fulbright (Rep)</b><br>11,807 votes",1,1
6,Rep,,Stephens County: Tax Commissioner,100.0,"<b>Dene Hicks (I) (Rep)</b><br>11,659 votes",1,1
7,Rep,,Stephens County: Coroner,100.0,"<b>Kyle Johnson (Rep)</b><br>11,567 votes",1,1
8,Rep,,Stephens County: Solicitor of State Court,100.0,"<b>Ann Pickett (I) (Rep)</b><br>11,480 votes",1,1
9,Rep,,Stephens County: County Commission - Post 2,100.0,"<b>Debbie Whitlock (I) (Rep)</b><br>11,348 votes",1,1
10,Rep,,Stephens County: County Commission - Post 3,82.24240031583103,"<b>Craig Oglesby (Rep)</b><br>10,416 votes",1,1
11,Dem,,Stephens County: County Commission - Post 3,17.75759968416897,"<b>Justin Richie (Dem)</b><br>2,249 votes",1,1
12,Rep,,Stephens County: School Board - At Large,100.0,"<b>Len Stovall (I) (Rep)</b><br>11,493 votes",1,1
13,Rep,,Stephens County: School Board - District 1 Post 1,100.0,"<b>Wendy Dawkins (I) (Rep)</b><br>11,404 votes",1,1
14,Rep,,Stephens County: School Board - District 3 Post 2,100.0,"<b>Pam Hill (Rep)</b><br>11,377 votes",1,1
