,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
2,Ind,73300,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
3,Dem,,Stewart County: Clerk of Superior Court,34.52751817237799,<b>Shunta Brown (Dem)</b><br>665 votes,4,4
4,Ind,,Stewart County: Clerk of Superior Court,65.47248182762202,"<b>Mona Laura Dudley (I) (Ind)</b><br>1,261 votes",4,4
5,Dem,,Stewart County: Sheriff,60.02014098690835,"<b>Larry Jones (I) (Dem)</b><br>1,192 votes",4,4
6,Ind,,Stewart County: Sheriff,39.97985901309164,"<b>Matthew ""Matt"" Holloway (Ind)</b><br>794 votes",4,4
7,Dem,,Stewart County: Tax Commissioner,100.0,"<b>Shirley “Ponder” Walker (Dem)</b><br>1,439 votes",4,4
8,Dem,,Stewart County: Coroner,100.0,"<b>Sybil S. Ammons (I) (Dem)</b><br>1,422 votes",4,4
9,Dem,,Stewart County: Chief Magistrate Judge,100.0,"<b>Canady “Tony” Matthews  (Dem)</b><br>1,420 votes",4,4
10,Dem,,Stewart County: County Commissioner - District 1,100.0,<b>Tyrone S. Nelson (I) (Dem)</b><br>317 votes,2,2
11,,,Stewart County: County Commissioner - District 2 (SE),36.69527896995708,"<b>Jack C. Berry, Jr.</b><br>171 votes",3,3
12,,,Stewart County: County Commissioner - District 2 (SE),42.91845493562232,<b>MaQuonzie Thomas</b><br>200 votes,3,3
13,,,Stewart County: County Commissioner - District 2 (SE),20.386266094420602,<b>Larry Westbrook</b><br>95 votes,3,3
14,Dem,,Stewart County: County Commissioner - District 3,100.0,<b>Thomas Tracy Mayo (I) (Dem)</b><br>268 votes,1,1
15,Dem,,Stewart County: County Commissioner - District 5,100.0,<b>Arcola Rivers Scott (I) (Dem)</b><br>339 votes,2,2
16,Dem,,Stewart County: County Board of Education - District 4,100.0,<b>Darius Brown (I) (Dem)</b><br>243 votes,1,1
17,Dem,,Stewart County: County Board of Education - District 5,100.0,<b>Kiawanna Thomas Lewis (Dem)</b><br>303 votes,2,2
18,,,Stewart County: Educational Special Purpose Local Option Sales Tax (ESPLOST),61.611111111111114,"<b>Yes</b><br>1,109 votes",4,4
19,,,Stewart County: Educational Special Purpose Local Option Sales Tax (ESPLOST),38.388888888888886,<b>No</b><br>691 votes,4,4
20,,,Stewart County: City of Lumpkin City Council Member - Post 5,30.76923076923077,<b>Debbie Stone</b><br>144 votes,1,1
21,,,Stewart County: City of Lumpkin City Council Member - Post 5,69.23076923076923,<b>Dennis A. Thomas</b><br>324 votes,1,1
