,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65000,State House of Representatives - District 150,46.756212222968436,"<b>Cary Moore (Rep)</b><br>10,443 votes",22,22
2,Dem,65000,State House of Representatives - District 150,53.24378777703156,"<b>Patty Marie Stinson (I) (Dem)</b><br>11,892 votes",22,22
3,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
4,Ind,73300,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
5,Dem,,Sumter County: Clerk of Superior Court,100.0,"<b>Cortisa E. Barthell (I) (Dem)</b><br>9,247 votes",11,11
6,Dem,,Sumter County: Sheriff,100.0,"<b>Eric D. Bryant (I) (Dem)</b><br>10,607 votes",11,11
7,Rep,,Sumter County: Tax Commissioner,54.971905329473856,"<b>Leah Watson (Rep)</b><br>6,457 votes",11,11
8,Dem,,Sumter County: Tax Commissioner,45.02809467052614,"<b>Mireo J. Harris (Dem)</b><br>5,289 votes",11,11
9,Rep,,Sumter County: Coroner,50.20736352094794,"<b>Bobby Hancock-Harris (Rep)</b><br>5,932 votes",11,11
10,Dem,,Sumter County: Coroner,49.79263647905206,"<b>Darrell D. Sabbs, Jr. (Dem)</b><br>5,883 votes",11,11
11,Dem,,Sumter County: Magistrate Court Judge,100.0,"<b>Crystal Cleveland (I) (Dem)</b><br>9,211 votes",11,11
12,Dem,,Sumter County: County Commissioner 1,100.0,"<b>Clay Jones (I) (Dem)</b><br>2,002 votes",6,6
13,Rep,,Sumter County: County Commissioner 3,63.177294507924806,"<b>James C. ""Jim"" Reid, Jr. (I) (Rep)</b><br>1,714 votes",7,7
14,Dem,,Sumter County: County Commissioner 3,36.822705492075194,<b>Ethan Wolfe (Dem)</b><br>999 votes,7,7
15,Dem,,Sumter County: County Commissioner 5,100.0,"<b>Jessie Mickey Smith (I) (Dem)</b><br>1,845 votes",3,3
