,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41500,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
1,Rep,63700,State House of Representatives - District 137,40.32305868405454,"<b>Stephen Acorn (Rep)</b><br>10,884 votes",24,24
2,Dem,63700,State House of Representatives - District 137,59.67694131594546,"<b>Debbie G. Buckner (I) (Dem)</b><br>16,108 votes",24,24
3,Rep,70800,District Attorney - Chattahoochee Judicial Circuit,51.765460587863174,"<b>Don Kelly (I) (Rep)</b><br>58,100 votes",53,53
4,Dem,70800,District Attorney - Chattahoochee Judicial Circuit,48.23453941213682,"<b>Anthony Johnson (Dem)</b><br>54,137 votes",53,53
5,Ind,,Talbot County: Probate Court Judge/Chief Magistrate,100.0,"<b>Shatara Powell (I) (Ind)</b><br>2,821 votes",7,7
6,Dem,,Talbot County: Clerk of Superior Court,100.0,"<b>Penny D. Mahone (I) (Dem)</b><br>2,800 votes",7,7
7,Dem,,Talbot County: Tax Commissioner,100.0,"<b>Jamie L. Huff (I) (Dem)</b><br>2,837 votes",7,7
8,Ind,,Talbot County: Sheriff,50.19883756500458,"<b>Bobby R. Gates, Jr. (Ind)</b><br>1,641 votes",7,7
9,Ind,,Talbot County: Sheriff,49.80116243499541,"<b>Justin Jake Johnson (I) (Ind)</b><br>1,628 votes",7,7
10,Dem,,Talbot County: Coroner,100.0,"<b>Brent Terry (I) (Dem)</b><br>2,826 votes",7,7
11,Dem,,Talbot County: County Commission 4,100.0,<b>Franklin Holmes (I) (Dem)</b><br>543 votes,1,1
12,Dem,,Talbot County: County Commission 5,33.07573415765069,<b>Larry Sparks (I) (Dem)</b><br>214 votes,3,3
13,Ind,,Talbot County: County Commission 5,38.33075734157651,<b>Josh Buckner (Ind)</b><br>248 votes,3,3
14,Ind,,Talbot County: County Commission 5,28.593508500772796,"<b>Allen ""Wayne"" Biggs (Ind)</b><br>185 votes",3,3
15,Dem,,Talbot County: Board of Education - District 1,47.7491961414791,<b>Kinivel Johnson (Dem)</b><br>297 votes,1,1
16,Ind,,Talbot County: Board of Education - District 1,52.2508038585209,<b>Julia Ann Leonard (I) (Ind)</b><br>325 votes,1,1
17,Dem,,Talbot County: Board of Education - District 4,100.0,<b>Nikki A. Waller (I) (Dem)</b><br>547 votes,1,1
18,Dem,,Talbot County: Board of Education - District 5,100.0,<b>Mildred Biggs (I) (Dem)</b><br>520 votes,3,3
