,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,62400,State House of Representatives - District 124,65.74263120057513,"<b>Trey Rhodes (I) (Rep)</b><br>22,862 votes",18,18
3,Dem,62400,State House of Representatives - District 124,34.257368799424874,"<b>Melanie M. Miller (Dem)</b><br>11,913 votes",18,18
4,Dem,73700,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
5,Dem,,Taliaferro County: Probate Judge,100.0,<b>Geraldine Fulton (Dem)</b><br>704 votes,2,2
6,Dem,,Taliaferro County: Clerk of Superior Court,100.0,"<b>Herberina ""Nita"" Turner (I) (Dem)</b><br>722 votes",2,2
7,Dem,,Taliaferro County: Sheriff,100.0,<b>Tia McWilliams (I) (Dem)</b><br>759 votes,2,2
8,Dem,,Taliaferro County: Tax Commissioner,100.0,<b>Vicki Swann (I) (Dem)</b><br>781 votes,2,2
9,Dem,,Taliaferro County: Coroner,100.0,<b>Milton Alexander (I) (Dem)</b><br>690 votes,2,2
10,,,Taliaferro County: Piedmont Soil and Water,100.0,<b>Tucker West</b><br>648 votes,2,2
11,,,Taliaferro County: Special County BOE - District 2,100.0,<b>JB Wynn</b><br>126 votes,2,2
12,,,Taliaferro County: SPLOST,62.098765432098766,<b>Yes</b><br>503 votes,2,2
13,,,Taliaferro County: SPLOST,37.901234567901234,<b>No</b><br>307 votes,2,2
