,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,65600,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
2,Rep,65700,State House of Representatives - District 157,100.0,"<b>William 'Bill' Werkheiser (I) (Rep)</b><br>19,664 votes",24,24
3,Rep,,Tattnall County: Clerk of Courts,100.0,"<b>Paige Dasher Mulligan (I) (Rep)</b><br>7,350 votes",8,8
4,Rep,,Tattnall County: Sheriff,100.0,"<b>Kyle Sapp (I) (Rep)</b><br>7,656 votes",8,8
5,Rep,,Tattnall County: Tax Commissioner,100.0,"<b>Laura F. Adams (I) (Rep)</b><br>7,413 votes",8,8
6,Rep,,Tattnall County: Coroner,100.0,"<b>Bradley B. Anderson (I) (Rep)</b><br>7,520 votes",8,8
7,Rep,,Tattnall County: County Commission Chair,100.0,"<b>Bill Kicklighter (Rep)</b><br>7,274 votes",8,8
8,Rep,,Tattnall County: County Commissioner - District 1,100.0,"<b>Ricky C. Jarriel (I) (Rep)</b><br>1,697 votes",3,3
9,Rep,,Tattnall County: County Commissioner - District 2,100.0,"<b>Bobby C. Kennedy (I) (Rep)</b><br>1,248 votes",1,1
10,Rep,,Tattnall County: County Commissioner - District 3,100.0,"<b>Billy Conley (I) (Rep)</b><br>1,561 votes",1,1
11,Rep,,Tattnall County: County Commissioner - District 4,72.66775777414075,"<b>Wayne Tatum (I) (Rep)</b><br>1,332 votes",1,1
12,Dem,,Tattnall County: County Commissioner - District 4,27.33224222585925,<b>Ricky Arthur (Dem)</b><br>501 votes,1,1
13,Rep,,Tattnall County: County Commissioner - District 5,100.0,"<b>Wanda S. Allen (Rep)</b><br>1,219 votes",2,2
14,,,Tattnall County: Soil and Water District Supervisor - Ogeechee,100.0,"<b>C. Bernard Purvis (I)</b><br>7,062 votes",8,8
15,,,Tattnall County: (S) Reidsville City Council - Ward 2 Post 1,28.51985559566787,<b>William W. Bargeron</b><br>158 votes,1,1
16,,,Tattnall County: (S) Reidsville City Council - Ward 2 Post 1,52.34657039711191,<b>Theron Harris</b><br>290 votes,1,1
17,,,Tattnall County: (S) Reidsville City Council - Ward 2 Post 1,19.133574007220215,<b>Brian Nerzig</b><br>106 votes,1,1
18,,,Tattnall County: (S) SPLOST,62.410116538556906,"<b>Yes</b><br>5,034 votes",8,8
19,,,Tattnall County: (S) SPLOST,37.589883461443094,"<b>No</b><br>3,032 votes",8,8
