,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41500,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
1,Rep,65000,State House of Representatives - District 150,46.756212222968436,"<b>Cary Moore (Rep)</b><br>10,443 votes",22,22
2,Dem,65000,State House of Representatives - District 150,53.24378777703156,"<b>Patty Marie Stinson (I) (Dem)</b><br>11,892 votes",22,22
3,Rep,70800,District Attorney - Chattahoochee Judicial Circuit,51.765460587863174,"<b>Don Kelly (I) (Rep)</b><br>58,100 votes",53,53
4,Dem,70800,District Attorney - Chattahoochee Judicial Circuit,48.23453941213682,"<b>Anthony Johnson (Dem)</b><br>54,137 votes",53,53
5,Rep,,Taylor County: Probate Court Judge,100.0,"<b>Jennifer M. Williams (Rep)</b><br>3,337 votes",3,3
6,Dem,,Taylor County: Clerk of Superior Court,100.0,"<b>Lisa D. McDonald (I) (Dem)</b><br>3,140 votes",3,3
7,Rep,,Taylor County: Sheriff,62.34756097560976,"<b>John “Bubba” Sawyer (Rep)</b><br>2,454 votes",3,3
8,Dem,,Taylor County: Sheriff,37.65243902439025,"<b>Tommie L. Fowler (Dem)</b><br>1,482 votes",3,3
9,Dem,,Taylor County: Tax Commissioner,100.0,"<b>Shirley Graham (I) (Dem)</b><br>3,149 votes",3,3
10,Rep,,Taylor County: Coroner,100.0,"<b>David McLeighton (Rep)</b><br>3,357 votes",3,3
11,Dem,,Taylor County: County Board of Commissioners - District 1,100.0,<b>Cicero Latimore (I) (Dem)</b><br>585 votes,2,2
12,Dem,,Taylor County: County Board of Commissioners - District 2,100.0,<b>Tameka “Tam” Harris (I) (Dem)</b><br>617 votes,3,3
13,Rep,,Taylor County: County Board of Commissioners - District 3,100.0,<b>Jeff Watson (Rep)</b><br>735 votes,2,2
14,Rep,,Taylor County: County Board of Commissioners - District 4,100.0,<b>Dianne C. Renfroe (Rep)</b><br>781 votes,2,2
15,Rep,,Taylor County: County Board of Commissioners - District 5,100.0,<b>Randy Nelson (I) (Rep)</b><br>690 votes,2,2
16,Dem,,Taylor County: Board of Education - District 1,100.0,<b>Glenda Latimore (I) (Dem)</b><br>583 votes,2,2
17,Dem,,Taylor County: Board of Education - District 2,100.0,<b>Al Tunke Townes (Dem)</b><br>606 votes,3,3
18,Rep,,Taylor County: Board of Education - District 3,100.0,<b>Greg Brown (I) (Rep)</b><br>737 votes,2,2
19,Rep,,Taylor County: Board of Education - District 4,100.0,"<b>C. Wayne McInvale, II (I) (Rep)</b><br>755 votes",2,2
20,Rep,,Taylor County: Board of Education - District 5,100.0,"<b>Wes Summers, Jr. (I) (Rep)</b><br>689 votes",2,2
21,,,Taylor County: Distilled Spirits - Reynolds,64.64435146443515,<b>Yes</b><br>309 votes,1,1
22,,,Taylor County: Distilled Spirits - Reynolds,35.35564853556485,<b>No</b><br>169 votes,1,1
