,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,63300,State House of Representatives - District 133,100.0,"<b>Danny Mathis (I) (Rep)</b><br>21,374 votes",34,34
2,Rep,65600,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
3,Rep,72700,District Attorney - Oconee Judicial Circuit,100.0,"<b>Timothy G. Vaughn (I) (Rep)</b><br>23,986 votes",29,29
4,Dem,,Telfair County: Probate Judge,100.0,"<b>Michael D. Wesley (I) (Dem)</b><br>3,050 votes",6,6
5,Rep,,Telfair County: Clerk of Superior Court,100.0,"<b>Amy Michelle Royal (I) (Rep)</b><br>3,426 votes",6,6
6,Rep,,Telfair County: Sheriff,100.0,"<b>Sim Davidson (I) (Rep)</b><br>3,492 votes",6,6
7,Dem,,Telfair County: Tax Commissioner,100.0,"<b>Olivia A. Rozier McRae (I) (Dem)</b><br>3,055 votes",6,6
8,Rep,,Telfair County: Coroner,76.10030706243603,"<b>Chuck Bethea (I) (Rep)</b><br>2,974 votes",6,6
9,Dem,,Telfair County: Coroner,23.89969293756397,<b>Lorena Doctor (Dem)</b><br>934 votes,6,6
10,Rep,,Telfair County: Surveyor,100.0,"<b>Grady Franklin Boney (I) (Rep)</b><br>3,374 votes",6,6
11,Dem,,Telfair County: Chief Magistrate,100.0,"<b>Brian Oakley Selph (I) (Dem)</b><br>3,088 votes",6,6
12,Dem,,Telfair County: County Commission - District 2,100.0,<b>Dakkia L. Bradshaw (I) (Dem)</b><br>560 votes,3,3
13,Rep,,Telfair County: County Commission - District 3,85.2882703777336,<b>Douglas Joe Perkins (Rep)</b><br>858 votes,4,4
14,Dem,,Telfair County: County Commission - District 3,14.7117296222664,"<b>Jimmie Tucker, IV (Dem)</b><br>148 votes",4,4
15,Rep,,Telfair County: County Commission - District 4,100.0,<b>Charles Michael Cravey (Rep)</b><br>791 votes,3,3
16,,,Telfair County: County Commission - District 5 (Special),100.0,<b>Christy Dopson Purvis</b><br>648 votes,2,2
17,Dem,,Telfair County: County BOE - District 3,100.0,<b>Laura K. Neal (I) (Dem)</b><br>417 votes,3,3
18,Dem,,Telfair County: County BOE - District 5,100.0,<b>Christopher Allen Clark (I) (Dem)</b><br>491 votes,2,2
19,Rep,,Telfair County: County BOE - District 6,100.0,<b>Jimmy Ronny Barron (Rep)</b><br>633 votes,3,3
20,,,Telfair County: Altamaha Soil and Water District Supervisor,100.0,"<b>Gary Ross Spires (I)</b><br>2,985 votes",6,6
21,,,Telfair County: Telfair County Homestead Exemption for Educational Purposes,67.99779675020655,"<b>Yes</b><br>2,469 votes",6,6
22,,,Telfair County: Telfair County Homestead Exemption for Educational Purposes,32.002203249793446,"<b>No</b><br>1,162 votes",6,6
23,,,Telfair County: Telfair County Homestead Exemption for County Purposes,69.2828146143437,"<b>Yes</b><br>2,560 votes",6,6
24,,,Telfair County: Telfair County Homestead Exemption for County Purposes,30.717185385656293,"<b>No</b><br>1,135 votes",6,6
