,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
2,Dem,,Terrell County: Clerk of Superior Court,100.0,"<b>Tina Ivey (Dem)</b><br>3,501 votes",6,6
3,Rep,,Terrell County: Sheriff,34.959349593495936,"<b>James A. Driver, Jr. (Rep)</b><br>1,505 votes",6,6
4,Dem,,Terrell County: Sheriff,53.65853658536586,"<b>Vernon L. Jessie (Dem)</b><br>2,310 votes",6,6
5,Ind,,Terrell County: Sheriff,11.38211382113821,<b>Larry Ken Faust (Ind)</b><br>490 votes,6,6
6,Dem,,Terrell County: Tax Commissioner,100.0,"<b>Krystal McGill (Dem)</b><br>3,495 votes",6,6
7,Ind,,Terrell County: County Comission Chairman,100.0,"<b>W.T. Gamble, III (I) (Ind)</b><br>3,615 votes",6,6
8,,,Terrell County: Terrell County ESPLOST,64.04686355870149,"<b>Yes</b><br>2,624 votes",6,6
9,,,Terrell County: Terrell County ESPLOST,35.95313644129851,"<b>No</b><br>1,473 votes",6,6
