,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,67200,State House of Representatives - District 172,100.0,"<b>Charles 'Chas' Cannon (I) (Rep)</b><br>19,258 votes",27,27
2,Rep,67300,State House of Representatives - District 173,65.46873198293423,"<b>Darlene K. Taylor (I) (Rep)</b><br>17,033 votes",25,25
3,Dem,67300,State House of Representatives - District 173,34.53126801706576,"<b>Theresa Thomas (Dem)</b><br>8,984 votes",25,25
4,Rep,73200,District Attorney - Southern Judicial Circuit,100.0,"<b>Brad Shealy (I) (Rep)</b><br>76,850 votes",65,65
5,Rep,,Thomas County: Solicitor General - State Court,100.0,"<b>Andrew W. Pope (I) (Rep)</b><br>17,852 votes",20,20
6,Rep,,Thomas County: Clerk of Superior Court,100.0,"<b>Randa Wharton (I) (Rep)</b><br>17,930 votes",20,20
7,Rep,,Thomas County: Sheriff,65.29352133443922,"<b>Timothy ""Tim"" Watkins (Rep)</b><br>14,170 votes",20,20
8,Dem,,Thomas County: Sheriff,34.70647866556078,"<b>Leila Spires (Dem)</b><br>7,532 votes",20,20
9,Dem,,Thomas County: Tax Commissioner,100.0,"<b>Alicia Hester (I) (Dem)</b><br>18,781 votes",20,20
10,Rep,,Thomas County: Coroner,100.0,"<b>Donald D. Shiver (I) (Rep)</b><br>18,420 votes",20,20
11,Rep,,Thomas County: County Commission - District 2,49.237067361369554,"<b>Louis Schofill (Rep)</b><br>1,323 votes",5,5
12,Dem,,Thomas County: County Commission - District 2,50.762932638630446,"<b>Moses Gross (I) (Dem)</b><br>1,364 votes",5,5
13,Rep,,Thomas County: County Commission - District 4,100.0,"<b>Mark A. NeSmith (I) (Rep)</b><br>2,570 votes",6,6
14,Rep,,Thomas County: County Commission - District 6,100.0,"<b>Wiley E. Grady (I) (Rep)</b><br>2,351 votes",4,4
15,Rep,,Thomas County: County Commission - District 8,100.0,"<b>Zippy Vonier (I) (Rep)</b><br>2,755 votes",4,4
16,Rep,,Thomas County: Board of Education - District 2,100.0,"<b>Mitchell J. Herring (Rep)</b><br>1,671 votes",6,6
17,Rep,,Thomas County: Board of Education - District 4,100.0,"<b>Chris Hayes (I) (Rep)</b><br>1,567 votes",3,3
18,Rep,,Thomas County: Board of Education - District 6,100.0,"<b>Dan Cecil Stewart (I) (Rep)</b><br>1,317 votes",3,3
