,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,66900,State House of Representatives - District 169,74.74853037230568,"<b>Angie O'Steen (Rep)</b><br>17,166 votes",13,13
2,Dem,66900,State House of Representatives - District 169,25.251469627694316,"<b>Theresa R. Rewis (Dem)</b><br>5,799 votes",13,13
3,Rep,67000,State House of Representatives - District 170,100.0,"<b>Jaclyn Dixon Ford (Rep)</b><br>20,743 votes",18,18
4,Rep,73600,District Attorney - Tifton Judicial Circuit,100.0,"<b>Bryce Johnson (I) (Rep)</b><br>28,715 votes",29,29
5,Rep,,Tift County: Probate Judge,100.0,"<b>Suzanne Carter Johnson (I) (Rep)</b><br>14,169 votes",12,12
6,Rep,,Tift County: Clerk of Superior Court,100.0,"<b>Clay Pate (I) (Rep)</b><br>14,213 votes",12,12
7,Rep,,Tift County: Sheriff,100.0,"<b>Gene Scarborough (I) (Rep)</b><br>14,315 votes",12,12
8,Rep,,Tift County: Tax Commissioner,100.0,"<b>R. Chad Alexander (I) (Rep)</b><br>14,244 votes",12,12
9,Rep,,Tift County: Coroner,100.0,"<b>Joshua D. Hendrix (I) (Rep)</b><br>14,082 votes",12,12
10,Rep,,Tift County: Chief Magistrate,100.0,"<b>Bryan P. Cavenaugh (I) (Rep)</b><br>14,092 votes",12,12
11,Rep,,Tift County: County Commission - District 2,40.78700811992505,<b>Priscilla Prince (Rep)</b><br>653 votes,4,4
12,Dem,,Tift County: County Commission - District 2,59.21299188007495,<b>Melissa Hughes (I) (Dem)</b><br>948 votes,4,4
13,Rep,,Tift County: County Commission - District 5,100.0,"<b>Fred W. ""Buck"" Rigdon, Jr. (I) (Rep)</b><br>2,159 votes",3,3
14,Rep,,Tift County: County Commission District 7,100.0,"<b>Tony McBrayer (I) (Rep)</b><br>14,026 votes",12,12
15,Dem,,Tift County: County BOE - District 1 (Special Primary),52.33291298865069,<b>Marilyn R. Burks (I) (Dem)</b><br>830 votes,5,5
16,Rep,,Tift County: County BOE - District 3,100.0,"<b>John Waddell (I) (Rep)</b><br>2,671 votes",6,6
17,Rep,,Tift County: County BOE - District 7,100.0,"<b>Jonathan E. Jones (I) (Rep)</b><br>13,777 votes",12,12
18,Dem,,Tift County: County BOE - District 1 (Special Primary),47.66708701134931,"<b>Ambrose B. King, Jr. (Dem)</b><br>756 votes",5,5
