,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,65600,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
2,Rep,72300,District Attorney - Middle Judicial Circuit,100.0,"<b>Tripp Fitzner (I) (Rep)</b><br>32,860 votes",33,33
3,Rep,,Toombs County: Clerk of Superior Court,100.0,"<b>Nancy T. Pittman (I) (Rep)</b><br>9,418 votes",5,5
4,Rep,,Toombs County: State Court Solicitor,100.0,"<b>Thomas Alexander Peterson IV (I) (Rep)</b><br>9,104 votes",5,5
5,Rep,,Toombs County: Sheriff,100.0,"<b>Jordan Kight (Rep)</b><br>8,472 votes",5,5
6,Rep,,Toombs County: Tax Commissioner,100.0,"<b>Anna Wommack Holcombe (Rep)</b><br>9,182 votes",5,5
7,Rep,,Toombs County: Coroner,100.0,"<b>Ronald V. Hall (I) (Rep)</b><br>9,570 votes",5,5
8,Rep,,Toombs County: County Commission Chairman,100.0,"<b>David Sikes (I) (Rep)</b><br>9,213 votes",5,5
9,Rep,,Toombs County: County Commisson - District 2,100.0,"<b>Buck Moon (Rep)</b><br>2,581 votes",2,2
10,Rep,,Toombs County: County Commisson - District 3,100.0,"<b>D. Darriel Nobles (I) (Rep)</b><br>2,524 votes",3,3
