,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
1,Rep,65800,State House of Representatives - District 158,72.89470495577366,"<b>Butch Parrish (I) (Rep)</b><br>18,048 votes",19,19
2,Dem,65800,State House of Representatives - District 158,27.10529504422634,"<b>Madeline Ryan Smith  (Dem)</b><br>6,711 votes",19,19
3,Rep,71500,District Attorney - Dublin Judicial Circuit,100.0,"<b>Harold D. McLendon (Rep)</b><br>29,512 votes",26,26
4,Rep,,Treutlen County: Probate Judge,100.0,"<b>Tiffany Wyatt McLendon (I) (Rep)</b><br>2,646 votes",2,2
5,Rep,,Treutlen County: Clerk of Superior Court,100.0,"<b>Connie Smith (I) (Rep)</b><br>2,705 votes",2,2
6,Rep,,Treutlen County: Sheriff,70.71335078534031,"<b>Tommy Corbin (I) (Rep)</b><br>2,161 votes",2,2
7,Dem,,Treutlen County: Sheriff,29.28664921465969,<b>Kyle Strickland (Dem)</b><br>895 votes,2,2
8,Rep,,Treutlen County: Tax Commissioner,100.0,"<b>Penny Wheeler (I) (Rep)</b><br>2,748 votes",2,2
9,Rep,,Treutlen County: Coroner,100.0,"<b>Greg Higgs (I) (Rep)</b><br>2,695 votes",2,2
10,Rep,,Treutlen County: County Commission - District 1,49.05008635578584,<b>Philip Morris (Rep)</b><br>284 votes,2,2
11,Dem,,Treutlen County: County Commission - District 1,50.94991364421416,<b>Cali Little Hollis (I) (Dem)</b><br>295 votes,2,2
12,Rep,,Treutlen County: County Commission - District 3,100.0,<b>Rodney Meeks (Rep)</b><br>693 votes,1,1
13,Rep,,Treutlen County: County Commission - District 4,100.0,<b>Joey Powell (I) (Rep)</b><br>589 votes,1,1
14,Dem,,Treutlen County: County BOE - District 1,100.0,<b>Toni Banes (I) (Dem)</b><br>455 votes,2,2
15,Rep,,Treutlen County: County BOE - District 2,100.0,<b>Zachary Mixon (I) (Rep)</b><br>523 votes,2,2
16,Rep,,Treutlen County: County BOE - District 4,100.0,<b>Jeremy Lanford (Rep)</b><br>609 votes,1,1
