,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,66900,State House of Representatives - District 169,74.74853037230568,"<b>Angie O'Steen (Rep)</b><br>17,166 votes",13,13
2,Dem,66900,State House of Representatives - District 169,25.251469627694316,"<b>Theresa R. Rewis (Dem)</b><br>5,799 votes",13,13
3,Rep,73600,District Attorney - Tifton Judicial Circuit,100.0,"<b>Bryce Johnson (I) (Rep)</b><br>28,715 votes",29,29
4,Rep,,Turner County: Probate Court Judge,33.95274754446509,"<b>Dawn Myers Elliot (Rep)</b><br>1,279 votes",3,3
5,Dem,,Turner County: Probate Court Judge,66.04725245553492,"<b>Penny E. Thomas (I) (Dem)</b><br>2,488 votes",3,3
6,Dem,,Turner County: Clerk of Superior Court,100.0,"<b>Mary Lee Green (I) (Dem)</b><br>3,343 votes",3,3
7,Rep,,Turner County: Sheriff,100.0,"<b>Andy Hester (I) (Rep)</b><br>3,394 votes",3,3
8,Rep,,Turner County: Tax Commissioner,100.0,"<b>Ranee F. Gregory (I) (Rep)</b><br>3,203 votes",3,3
9,Rep,,Turner County: Coroner,70.83891718038059,"<b>Jim Lumpkin (I) (Rep)</b><br>2,643 votes",3,3
10,Dem,,Turner County: Coroner,29.161082819619406,"<b>Charles J. Jordan, Sr. (Dem)</b><br>1,088 votes",3,3
11,Rep,,Turner County: Chief Magistrate,100.0,"<b>Blake Christian (I) (Rep)</b><br>3,354 votes",3,3
12,Dem,,Turner County: County Commission - District 2,100.0,<b>James Burgess (Dem)</b><br>496 votes,2,2
13,Rep,,Turner County: County Commission - District 3,74.40811724915444,<b>Dana L. Whiddon (I) (Rep)</b><br>660 votes,3,3
14,Ind,,Turner County: County Commission - District 3,25.591882750845546,<b>Wesley Hughes (Ind)</b><br>227 votes,3,3
15,Rep,,Turner County: County Commission - District 4,71.60342717258263,<b>Brad Calhoun (I) (Rep)</b><br>585 votes,3,3
16,Ind,,Turner County: County Commission - District 4,28.396572827417383,<b>Cristi Brown Ellis (Ind)</b><br>232 votes,3,3
17,Dem,,Turner County: County BOE - District 2,100.0,<b>Samuel G. Brown (I) (Dem)</b><br>477 votes,2,2
18,Rep,,Turner County: County BOE - District 4,100.0,<b>John David Mathis (I) (Rep)</b><br>755 votes,3,3
19,Rep,,Turner County: County BOE - District 5,100.0,<b>Ann W. Kendrick (I) (Rep)</b><br>841 votes,1,1
20,,,Turner County: Ashburn City Council (VF3),9.65366784837742,<b>Richard A. Chatfield</b><br>354 votes,1,1
21,,,Turner County: Ashburn City Council (VF3),4.063266975729479,<b>Kelly Jarrod Dawsey</b><br>149 votes,1,1
22,,,Turner County: Ashburn City Council (VF3),8.971911644395963,<b>Michele Harris</b><br>329 votes,1,1
23,,,Turner County: Ashburn City Council (VF3),3.1906190346332153,<b>Jackie Johnson</b><br>117 votes,1,1
24,,,Turner County: Ashburn City Council (VF3),11.37169348241069,<b>Corey Jordan (I)</b><br>417 votes,1,1
25,,,Turner County: Ashburn City Council (VF3),11.235342241614399,<b>Howard Jordan</b><br>412 votes,1,1
26,,,Turner County: Ashburn City Council (VF3),2.917916553040633,<b>Roy Troy Martin</b><br>107 votes,1,1
27,,,Turner County: Ashburn City Council (VF3),13.662394327788382,<b>Jonathan P. Perry</b><br>501 votes,1,1
28,,,Turner County: Ashburn City Council (VF3),8.917371148077448,<b>Jermaine Rockwell (I)</b><br>327 votes,1,1
29,,,Turner County: Ashburn City Council (VF3),16.880283610580857,<b>Sheldon Smith (I)</b><br>619 votes,1,1
30,,,Turner County: Ashburn City Council (VF3),2.0179983637851104,<b>Shannon Stephens</b><br>74 votes,1,1
31,,,Turner County: Ashburn City Council (VF3),7.117534769566403,<b>Angela Pene Tye</b><br>261 votes,1,1
