,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42600,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
1,Rep,63300,State House of Representatives - District 133,100.0,"<b>Danny Mathis (I) (Rep)</b><br>21,374 votes",34,34
2,Rep,71500,District Attorney - Dublin Judicial Circuit,100.0,"<b>Harold D. McLendon (Rep)</b><br>29,512 votes",26,26
3,Dem,,Twiggs County: Clerk of Superior Court,100.0,"<b>Karen Fountain Burke (Dem)</b><br>3,571 votes",5,5
4,Dem,,Twiggs County: Sheriff,100.0,"<b>Darren Mitchum (I) (Dem)</b><br>3,936 votes",5,5
5,Dem,,Twiggs County: Tax Commissioner,100.0,"<b>E. Walton ""Buddy"" Nesmith (I) (Dem)</b><br>3,707 votes",5,5
6,Rep,,Twiggs County: Coroner,100.0,"<b>Harold L. Reece, Jr (I) (Rep)</b><br>3,647 votes",5,5
7,Rep,,Twiggs County: County Commission - District 1,39.150090415913205,<b>Wade C. Huffman (Rep)</b><br>433 votes,3,3
8,Dem,,Twiggs County: County Commission - District 1,60.8499095840868,<b>Lonnie Ford (I) (Dem)</b><br>673 votes,3,3
9,,,Twiggs County: County Commission - District 2,100.0,"<b>James Clayton ""Clay"" Floyd (I)</b><br>941 votes",3,3
10,Rep,,Twiggs County: County Commission - District 3,33.94898856640282,<b>Roger Hill (Rep)</b><br>386 votes,2,2
11,Dem,,Twiggs County: County Commission - District 3,66.05101143359718,"<b>Keith L. Washington, Sr. (I) (Dem)</b><br>751 votes",2,2
12,Dem,,Twiggs County: County Commission - District 4,100.0,<b>Steve Birdsong (I) (Dem)</b><br>736 votes,2,2
13,Dem,,Twiggs County: County BOE - District 2,100.0,<b>Teresa Dupree Blackshear (I) (Dem)</b><br>840 votes,3,3
14,Rep,,Twiggs County: County BOE - District 4,100.0,"<b>Chesney “Chachi"" Butler (Rep)</b><br>822 votes",2,2
15,,,Twiggs County: (S) SPLOST,58.77318116975749,"<b>Yes</b><br>2,472 votes",5,5
16,,,Twiggs County: (S) SPLOST,41.226818830242514,"<b>No</b><br>1,734 votes",5,5
17,Rep,,Twiggs County: County Commission Chairman,40.70042593469002,"<b>Casey Callaway (Rep)</b><br>1,720 votes",5,5
18,Dem,,Twiggs County: County Commission Chairman,59.29957406530999,"<b>Ken Fowler (I) (Dem)</b><br>2,506 votes",5,5
