,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
1,Rep,50800,State House of Representatives - District 8,84.82536928846596,"<b>Stan Gunter (I) (Rep)</b><br>33,249 votes",21,21
2,Dem,50800,State House of Representatives - District 8,15.174630711534046,"<b>Charlotte Sleczkowski (Dem)</b><br>5,948 votes",21,21
3,Rep,,Union County: Clerk of Superior Court,100.0,"<b>Judy L. Odom (I) (Rep)</b><br>16,180 votes",11,11
4,Rep,,Union County: Sheriff,100.0,"<b>Shawn Dyer (Rep)</b><br>16,115 votes",11,11
5,Rep,,Union County: Tax Commissioner,100.0,"<b>Lee Knight (I) (Rep)</b><br>16,044 votes",11,11
6,Rep,,Union County: Surveyor,100.0,"<b>Jason Henson (I) (Rep)</b><br>16,001 votes",11,11
7,Rep,,Union County: Coroner,100.0,"<b>Jeff D. Fortenberry (I) (Rep)</b><br>15,908 votes",11,11
8,Rep,,Union County: Sole Commissioner,54.70538001707942,"<b>Harold Collins (Rep)</b><br>9,609 votes",11,11
9,Dem,,Union County: Sole Commissioner,45.29461998292058,"<b>Lamar F. Paris (I) (Dem)</b><br>7,956 votes",11,11
10,Rep,,Union County: County BOE - District 1,100.0,"<b>Janna Davenport Akins (I) (Rep)</b><br>15,778 votes",11,11
11,Rep,,Union County: County BOE - District 3,100.0,"<b>Julia Cook Barnett (I) (Rep)</b><br>15,724 votes",11,11
12,,,Union County: Blue Ridge Mountain Soil and Water,100.0,"<b>Cody Matthew Graham</b><br>15,309 votes",11,11
