,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41800,State Senate - District 18,100.0,"<b>John F. Kennedy (I) (Rep)</b><br>80,984 votes",48,48
1,Rep,63400,State House of Representatives - District 134,100.0,"<b>Robert L. Dickey, III (I) (Rep)</b><br>25,043 votes",16,16
2,Rep,71800,District Attorney - Griffin Judicial Circuit,100.0,"<b>Marie Greene Broder (I) (Rep)</b><br>104,053 votes",65,65
3,Rep,,Upson County: Clerk of Superior Court,100.0,"<b>Teresa S. Meier (I) (Rep)</b><br>11,455 votes",4,4
4,Rep,,Upson County: Sheriff,100.0,"<b>Dan Kilgore (I) (Rep)</b><br>11,732 votes",4,4
5,Rep,,Upson County: Tax Commissioner,100.0,"<b>David “Andy” Chastain (I) (Rep)</b><br>11,409 votes",4,4
6,Rep,,Upson County: Coroner,100.0,"<b>K. Craig Stubbs (I) (Rep)</b><br>11,514 votes",4,4
7,Rep,,Upson County: Board of Commission - Chairman,65.41454654295121,"<b>Dan Brue (Rep)</b><br>8,742 votes",4,4
8,Dem,,Upson County: Board of Commission - Chairman,34.585453457048786,"<b>Ed Searcy, II (Dem)</b><br>4,622 votes",4,4
9,Dem,,Upson County: County Commissioner 1,100.0,"<b>Christopher Biggs (Dem)</b><br>2,338 votes",3,3
10,Rep,,Upson County: County Commissioner 2,100.0,"<b>James G. Ellington (I) (Rep)</b><br>3,462 votes",2,2
11,,,Upson County: Soil and Water Conservation District Supervisor,100.0,"<b>Tracy Lee Boyt (I)</b><br>11,111 votes",4,4
