,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45300,State Senate - District 53,78.77292512896258,"<b>Colton Moore (I) (Rep)</b><br>70,397 votes",41,41
1,Dem,45300,State Senate - District 53,21.227074871037406,"<b>Bart Alexander Bryant (Dem)</b><br>18,970 votes",41,41
2,Rep,50100,State House of Representatives - District 1,80.338354401635,"<b>Mike Cameron (I) (Rep)</b><br>21,227 votes",16,16
3,Dem,50100,State House of Representatives - District 1,19.661645598365,"<b>John B. Zibluk (Dem)</b><br>5,195 votes",16,16
4,Rep,50200,State House of Representatives - District 2,100.0,"<b>Steve Tarvin (I) (Rep)</b><br>27,194 votes",14,14
5,Rep,72100,District Attorney - Judicial Circuit Lookout Mountain,100.0,"<b>Clayton Fuller (I) (Rep)</b><br>74,668 votes",36,36
6,Rep,,Walker County: Judge of Probate Court,100.0,"<b>Christy Johnson Anderson (I) (Rep)</b><br>28,155 votes",11,11
7,Rep,,Walker County: Clerk of Superior Court,100.0,"<b>Carter Brown (I) (Rep)</b><br>28,149 votes",11,11
8,Rep,,Walker County: Sheriff,100.0,"<b>Steve Wilson (I) (Rep)</b><br>28,744 votes",11,11
9,Rep,,Walker County: Tax Commissioner,100.0,"<b>Carolyn W. Walker (I) (Rep)</b><br>28,539 votes",11,11
10,Rep,,Walker County: Coroner,100.0,"<b>William H. ""Billy"" Sims (I) (Rep)</b><br>28,094 votes",11,11
11,Rep,,Walker County: Surveyor,100.0,"<b>Randy Compton (Rep)</b><br>27,919 votes",11,11
12,Rep,,Walker County: Chief Magistrate,100.0,"<b>Shelia J. Thompson (I) (Rep)</b><br>28,015 votes",11,11
13,Rep,,Walker County: Commission Chair,100.0,"<b>Angela ""Angie"" Teems (Rep)</b><br>28,071 votes",11,11
14,Rep,,Walker County: County Commission 3,100.0,"<b>Brian Hart (I) (Rep)</b><br>7,025 votes",3,3
15,Rep,,Walker County: County Commission 4,100.0,"<b>Gene Wilson (Rep)</b><br>7,727 votes",6,6
16,Rep,,Walker County: County Board of Education - District 1,100.0,"<b>Dennis G. Willerson (Rep)</b><br>25,989 votes",11,11
17,Rep,,Walker County: County Board of Education - District 3 (SE),20.76261682242991,"<b>Rita B. Groh (Rep)</b><br>5,554 votes",11,11
18,Rep,,Walker County: County Board of Education - District 3 (SE),27.330841121495325,"<b>Travis Q. Middleton (Rep)</b><br>7,311 votes",11,11
19,Rep,,Walker County: County Board of Education - District 3 (SE),18.62056074766355,"<b>Bill Oliver (Rep)</b><br>4,981 votes",11,11
20,Rep,,Walker County: County Board of Education - District 3 (SE),33.285981308411216,"<b>Tina Painter (I) (Rep)</b><br>8,904 votes",11,11
21,Rep,,Walker County: County Board of Education - District 4,100.0,"<b>Stacey Meeks (Rep)</b><br>26,041 votes",11,11
22,Rep,,Walker County: County Board of Education - District 5,100.0,"<b>Phyllis Hunter (I) (Rep)</b><br>25,389 votes",11,11
23,,,Walker County: Soil and Water Conservation District Supervisor,100.0,"<b>James P. Burton (I)</b><br>26,538 votes",11,11
